c1_pattern,c2_pattern,c7_first_pattern,c7_second_pattern,c7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
cyc,anti,cyc,anti,False,8.37238546325572,0.03618005930289314,15.056229196529133,3.286280468694124,14.951424670245753,14.501397002909998
cyc,anti,cyc,anti,True,8.461976457539166,0.04455820134698385,15.0361574715397,4.274456091414842,14.964385662398463,14.65657315690954
cyc,anti,cyc,const,False,8.577998399772355,7.885730721777357,14.943815795642278,6.517682876864508,15.702104470366129,14.857529055650243
cyc,const,cyc,anti,False,8.61393024300972,1.5860999211511597,15.088794392541068,5.139375750447473,14.930097894326211,14.919764833746958
cyc,const,cyc,const,False,8.624412370484347,3.840707109636355,14.990296588402444,7.691648862107212,15.955993670112013,14.937920411104429
cyc,cyc,cyc,anti,False,8.665912084190108,0.029917278605118724,14.92758418495278,3.323607219549683,15.016500004567346,15.009800023742368
cyc,anti,cyc,const,True,8.66650382360114,7.8717401580003,14.946914289950527,6.847291060664009,15.627987025203515,15.010824946467116
anti,const,anti,const,True,8.666914477264514,3.7577059042899847,16.003329058202166,4.191822633124358,14.962353946061164,15.0115362194764
anti,cyc,anti,anti,False,8.690640501019221,0.01668493563210305,14.88909224940879,1.9760031021702145,16.405658978022885,15.052630898081132
anti,const,anti,const,False,8.715515464554345,3.7605418939236515,15.91253774090202,4.185181733202209,14.954632681046606,15.09571559876039
anti,cyc,anti,anti,True,8.715970516031419,0.02336386460897444,14.902674381439923,1.6041580619152265,16.459699169604825,15.096503771038742
cyc,const,cyc,const,True,8.718734021679046,3.8335040332346253,14.986514629963088,7.91774160786607,15.87080359538199,15.101290303227437
cyc,const,cyc,anti,True,8.725182481487101,1.5903701513457733,15.08305773437359,6.088942635451394,14.940911070647411,15.112459363245557
cyc,anti,const,anti,False,8.738728878380904,7.885055939874626,14.88776676045819,4.475326507986265,14.969692247061701,15.135922410925115
cyc,cyc,cyc,anti,True,8.744950191723966,0.0377569594875915,14.924692716314647,4.311271598115194,15.046131059007777,15.146698041725104
cyc,anti,cyc,cyc,True,8.764314138254903,0.01119006272509182,16.361575247188462,8.22910102789164,14.919781877309639,15.180237380951734
anti,const,anti,anti,False,8.781790011534351,1.647284197616223,14.920413271188545,3.594670235814282,16.535291888115324,15.210506481378374
cyc,anti,const,anti,True,8.789923621164045,7.877982253916805,14.881170866172884,5.404868294539526,14.991126914783658,15.224594306505935
anti,anti,anti,anti,False,8.800377697600569,0.019443780050664827,15.004571828168379,1.945388059679815,15.874961947590831,15.242701298040204
anti,const,anti,anti,True,8.814917537289803,1.65161161813203,14.945934465273641,3.0846747188040187,16.531868296381845,15.267885039115859
