ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
const,cyc,anti,const,False,False,8.283022974223528,7.885320002260343,14.891401905996046,4.701792596543658,15.100665931095454,14.346616631615422,0.209264025099408
const,cyc,anti,const,True,False,8.291191693416211,7.872447182347955,14.882439714582366,5.227526961128456,15.129194224216944,14.360765268289917,0.24675450963457735
const,cyc,anti,anti,False,False,8.294009537918923,5.39544344374595,14.888422462945869,2.770608163711561,14.992780202446584,14.365645918136439,0.10435773950071514
const,cyc,anti,const,False,True,8.313004580844481,7.848353633104274,14.891563452418895,4.915887758722679,15.10117689007848,14.398546297575459,0.20961343765958595
const,cyc,anti,anti,False,True,8.314685596923416,5.391568121302795,14.888493903088738,3.30761667499483,14.962335699849424,14.401457902832513,0.0738417967606857
const,cyc,anti,anti,True,False,8.319940548886963,5.378433005097541,14.881132920922079,3.257315363321542,15.013259903069144,14.410559746624713,0.13212698214706542
const,cyc,anti,const,True,True,8.321381762301199,7.8342805049089534,14.882543604235046,5.445393161228051,15.129733515476968,14.413056001482717,0.24718991124192158
const,cyc,anti,anti,True,True,8.34352675907473,5.374619888477094,14.881134783486075,3.803408171948749,14.978912938347893,14.451412261027928,0.09777815486181751
cyc,cyc,anti,anti,False,False,8.37238546325572,0.03618005930289314,15.056229196529133,3.286280468694124,14.951424670245753,14.501397002909998,0.10480452628337922
cyc,cyc,anti,const,False,False,8.382761727613753,5.709873279905457,15.071275337987004,5.286815033785757,14.926223004565495,14.519369219970876,0.1450523334215088
cyc,cyc,anti,anti,False,True,8.41233500171717,0.04007995201125425,15.056736273678261,3.8144646189389477,14.999949249319254,14.570591633264156,0.05678702435900718
cyc,cyc,anti,anti,True,False,8.41891807002581,0.04032017081884476,15.03570148956088,3.7435283208289434,14.926082727078203,14.581993842044417,0.10961876248267721
cyc,cyc,anti,const,True,False,8.419772720115743,5.720866445819151,15.04962552079547,5.764914149127059,14.920164976781638,14.583474139422878,0.12946054401383122
anti,cyc,anti,const,True,False,8.425235184494293,5.610463949015392,15.047496011453838,4.104438031786285,14.922513034068086,14.592935405261056,0.12498297738575204
const,cyc,anti,cyc,False,True,8.425528595199888,5.568960964777325,15.693090660104557,6.111810137333639,15.105740500940772,14.593443607510636,0.5873501591637851
cyc,cyc,anti,const,False,True,8.427222408420675,5.749094907677014,15.071927705354597,5.511341464617599,14.926306108715144,14.596377378067569,0.14562159663945273
anti,cyc,anti,anti,False,False,8.427823833703368,0.017771313207617823,15.054313400858636,1.7809500659357276,14.957602190921861,14.59741907721415,0.09671120993677462
anti,cyc,anti,anti,True,False,8.436676577209791,0.020718402055788232,15.033699401923108,2.272963117199955,14.930451327895124,14.61275247875365,0.10324807402798442
anti,cyc,anti,const,False,False,8.438121542849167,5.599595277207907,15.069251691797346,3.538050658653465,14.930092037823659,14.615255232656242,0.13915965397368701
anti,cyc,anti,anti,False,True,8.440361823756538,0.021154225539149252,15.054816791444354,2.2680440710459266,15.007969658436005,14.619135513011033,0.04684713300834886
