point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734
1,-20.13638992630836,-23.75951852124885,-36.52515304964449,-20.110983285557,-23.784533696260322,-36.52476233695483
2,-20.10770377633411,-23.7877807440017,-36.52248994314877,-20.011701744889987,-23.882303122200845,-36.52084212796118
3,-20.06078469744631,-23.83394916854013,-36.51809751988627,-19.86023953942347,-24.031375857547992,-36.51418385268213
4,-19.99683434996827,-23.89675571124143,-36.51204516940717,-19.66962654133307,-24.21882454648965,-36.50469417710501
5,-19.91730757035001,-23.97465202551091,-36.50443055136041,-19.45122921006842,-24.433381460736005,-36.49228720767136
6,-19.82376246057797,-24.06595890021456,-36.49538010440797,-19.213898678490835,-24.66629018859089,-36.47688469841151
7,-19.71773798180933,-24.16898801625031,-36.48504969185429,-18.964149478767638,-24.911126365598932,-36.4584165717492
8,-19.60067000508874,-24.28212511676698,-36.47362537562707,-18.70666292149963,-25.16329341775386,-36.43682176855046
9,-19.47384421640941,-24.40387620614245,-36.46132430624219,-18.444780325068262,-25.419528096392803,-36.412049451347876
10,-19.33837780918531,-24.53288486244486,-36.44839571096467,-18.18088893610657,-25.67751293087329,-36.384060593791126
11,-19.19522048704019,-24.6679301654519,-36.43512195519435,-17.916699042717376,-25.93559705398519,-36.35282999980591
12,-19.04516665462996,-24.80791339681873,-36.42181964277324,-17.653436333533246,-26.192601291213844,-36.31834880831733
13,-18.88887292164209,-24.95183943340943,-36.40884070906576,-17.39197415260388,-26.447682793028566,-36.28062755445055
14,-18.72687715883041,-25.09879665578881,-36.39657344596407,-17.132924699314284,-26.700240071565194,-36.23969987671782
15,-18.55961695308148,-25.24793760349842,-36.38544338020837,-16.876702540917627,-26.94984496158268,-36.195626982816265
16,-18.38744638870457,-25.39846154936997,-36.37591390558634,-16.623569466544566,-27.196192335609283,-36.14850301535285
17,-18.2106507436151,-25.54959952716973,-36.36848654606034,-16.373666701703076,-27.439061377730894,-36.09846149413288
18,-18.02945906073332,-25.70060200049411,-36.3637007015901,-16.127038492846342,-27.678284187164305,-36.04568305439924
19,-17.84405474285759,-25.85072919823433,-36.36213270308811,-15.883649748106135,-27.913718755933587,-35.990404750721936
20,-17.65458439853863,-25.99924408530898,-36.36439398029393,-15.643399549612292,-28.145224179182886,-35.93293125270533
21,-17.4611651856525,-26.14540793421279,-36.3711281303362,-15.406131776812435,-28.37263647450849,-35.87364831684314
