ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
cyc,cyc,anti,anti,8.37238546325572,0.03618005930289314,15.056229196529133,3.286280468694124,14.951424670245753,14.501397002909998,0.10480452628337922
cyc,cyc,cyc,anti,8.400837136408578,0.024542882876669836,15.090872869377915,3.306261052453726,15.044819738294983,14.55067674637109,0.04605313108293174
cyc,cyc,const,anti,8.461493988505906,1.5292816625513126,15.091231429935892,4.395653209421979,14.950156591070012,14.655737496030852,0.14107483886587957
cyc,cyc,cyc,const,8.58021794461048,1.0975814374242,15.088437326234743,4.051613350288229,15.016298666143351,14.861373420079554,0.07213866009139203
cyc,cyc,anti,const,8.585282127481698,1.0396580353479976,15.05404265737144,4.031749948550546,14.931239087485515,14.870144842111321,0.12280356988592445
cyc,cyc,const,const,8.61393024300972,1.5860999211511597,15.088794392541068,5.139375750447473,14.930097894326211,14.919764833746958,0.15869649821485687
cyc,cyc,anti,cyc,8.654746348157552,0.04319524717488932,14.920102657477143,3.30352205196142,14.931382505612534,14.990460401630079,0.01127984813539129
cyc,cyc,cyc,cyc,8.665912084190108,0.029917278605118724,14.92758418495278,3.323607219549683,15.016500004567346,15.009800023742368,0.08891581961456652
cyc,cyc,const,cyc,8.705164375423513,1.5602645138548894,14.927861616326965,4.413111897668512,14.930238911611227,15.077786986472116,0.0023772952842620043
anti,anti,cyc,const,9.063058721786138,0.9086201866201051,15.099690229600144,1.4632085434553435,15.237876868650119,15.69767817811384,0.13818663904997486
anti,anti,cyc,cyc,9.134666781802192,0.08144970133588814,15.062957749127666,0.775096664881244,15.236363578421631,15.821706976293084,0.17340582929396575
anti,anti,cyc,anti,9.203822987016396,0.07110607715830497,15.099893465279315,0.7603749441783927,14.959943749331769,15.941489037382746,0.13994971594754624
anti,anti,const,const,9.214518908290982,1.5872105210089487,15.097147848658118,2.4049325065466456,15.299680764198445,15.960014916464088,0.2025329155403277
anti,anti,const,cyc,9.325692931065493,1.7700541813597113,15.060762138992082,1.7365121090191398,15.298021413127303,16.152573972391355,0.23725927413522108
anti,anti,anti,const,9.326111953479263,0.8531512614234202,15.260752278456065,1.447336240539252,15.298895992058712,16.153299740501517,0.03814371360264701
anti,anti,const,anti,9.367147742987493,1.7384815946566157,15.097348710124798,1.7212904908946203,14.992119437479024,16.224375812858476,0.10522927264577397
anti,anti,anti,cyc,9.39349347391447,0.10442575600721682,15.208547962938507,0.7589068192365438,15.29723832516705,16.270007957386536,0.08869036222854376
anti,anti,anti,anti,9.445142057578192,0.09258323299414783,15.261028442809215,0.744586507688111,14.991528858446278,16.359465928431074,0.2694995843629364
cyc,anti,cyc,anti,9.518387234410417,0.044048619449341686,18.020234633968492,6.69753701865222,15.339210938972707,16.48633029611385,2.681023694995785
cyc,anti,cyc,cyc,9.535133473291413,0.0519688200593329,17.901445814674872,6.717081975457721,15.047470415997479,16.51533563269143,2.8539753986773935
cyc,anti,cyc,const,9.578612211550825,0.9962339550838202,18.020093940176583,7.572846690235591,15.046670770775378,16.590643016405714,2.9734231694012045
cyc,anti,anti,anti,9.610697081760504,0.060702956769027594,17.905830585028426,6.675798445675515,15.517399992964803,16.646215641763135,2.3884305920636226
cyc,anti,anti,cyc,9.614757827712078,0.07020183704966598,17.743244327897834,6.6952627161842875,15.16495941362589,16.653249060067886,2.5782849142719435
cyc,anti,anti,const,9.667679435432492,0.9394406383277172,17.90496358058571,7.550995705369422,15.163917022136651,16.744911973457874,2.74104655844906
cyc,anti,const,anti,9.754720682834074,1.6257164831474071,18.020528713184078,7.92467877618942,15.521056632462953,16.895671836311585,2.499472080721125
cyc,anti,const,cyc,9.766003220285342,1.6570908850343464,17.903051704442227,7.944642481419335,15.167516514628673,16.915213764415483,2.735535189813554
cyc,anti,const,const,9.8063649871757,1.5142383561398631,18.0204204703632,8.802375677508914,15.166464790174073,16.985122395352835,2.8539556801891255
cyc,const,cyc,anti,10.324986332197268,16.479527974019245,18.020643322450148,6.860693926709806,15.044991713585492,17.883400914819898,2.9756516088646556
cyc,const,anti,anti,10.338409393340184,16.44498259250002,17.90848069377814,6.838548839606038,14.951628527985799,17.906650338712534,2.956852165792343
cyc,const,const,anti,10.413733632983474,15.60413570021917,18.02083281225271,8.094266323995024,14.950361017450398,18.03711574881621,3.0704717948023124
anti,cyc,cyc,anti,10.496145597168601,0.043888511495786986,15.332329925202751,4.757491117465287,17.165475263872427,18.179857457936393,1.8331453386696754
cyc,const,cyc,cyc,10.536506955987509,16.426704871674016,17.90693548579293,6.879321246765605,15.017168074299313,18.249765382073257,2.889767411493615
cyc,const,anti,cyc,10.55151379175879,16.39209247762601,17.749994082926428,6.857088628401918,14.931856295163332,18.275757984089957,2.8181377877630958
cyc,const,const,cyc,10.603711739692967,15.549496940430002,17.908539198878213,8.113667027410331,14.930704698007252,18.366167481962787,2.9778345008709604
anti,cyc,anti,anti,10.61139492741332,0.06056275242780629,15.173007883016714,4.754429358283665,17.295504369297642,18.379475153458532,2.1224964862809284
anti,cyc,cyc,const,10.6169017630582,1.0081813750333204,15.335629739621355,5.2593142489053335,17.06137493739889,18.389013272584393,1.7257451977775364
anti,cyc,const,anti,10.709718782597564,1.6413771613786672,15.335822318839801,5.109463273614428,17.295898791246472,18.549777066233684,1.960076472406671
anti,cyc,anti,const,10.72987617409758,0.9514352618426223,15.175781993200532,5.253119225013169,17.172264896817115,18.58469069245977,1.9964829036165828
anti,cyc,cyc,cyc,10.754555803025895,0.05178728934669152,15.851115246541285,4.765391814436064,17.062170899872985,18.627437063675554,1.2110556533316998
anti,cyc,const,const,10.787231547908839,1.6600996055981412,15.339142397398776,5.769710556751723,17.172084625203407,18.684033113987972,1.8329422278046312
cyc,const,cyc,const,10.841178638037238,19.74842694047807,18.02051687780484,7.671784719391379,15.016969859816248,18.77747221501086,3.003547017988593
cyc,const,anti,const,10.859225863335766,19.717598544243604,17.907671499919196,7.649256463915224,14.931714210174961,18.80873092616355,2.975957289744235
anti,cyc,anti,cyc,10.874278469694808,0.07003917605367604,15.629041971260527,4.762176863666117,17.173185652973938,18.834802805163747,1.544143681713411
