ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
cyc,cyc,anti,anti,8.37238546325572,0.03618005930289314,15.056229196529133,3.286280468694124,14.951424670245753,14.501397002909998,0.10480452628337922
cyc,cyc,cyc,anti,8.400837136408578,0.024542882876669836,15.090872869377915,3.306261052453726,15.044819738294983,14.55067674637109,0.04605313108293174
cyc,cyc,const,anti,8.461493988505906,1.5292816625513126,15.091231429935892,4.395653209421979,14.950156591070012,14.655737496030852,0.14107483886587957
cyc,cyc,cyc,const,8.58021794461048,1.0975814374242,15.088437326234743,4.051613350288229,15.016298666143351,14.861373420079554,0.07213866009139203
cyc,cyc,anti,const,8.585282127481698,1.0396580353479976,15.05404265737144,4.031749948550546,14.931239087485515,14.870144842111321,0.12280356988592445
cyc,cyc,const,const,8.61393024300972,1.5860999211511597,15.088794392541068,5.139375750447473,14.930097894326211,14.919764833746958,0.15869649821485687
cyc,cyc,anti,cyc,8.654746348157552,0.04319524717488932,14.920102657477143,3.30352205196142,14.931382505612534,14.990460401630079,0.01127984813539129
cyc,cyc,cyc,cyc,8.665912084190108,0.029917278605118724,14.92758418495278,3.323607219549683,15.016500004567346,15.009800023742368,0.08891581961456652
cyc,cyc,const,cyc,8.705164375423513,1.5602645138548894,14.927861616326965,4.413111897668512,14.930238911611227,15.077786986472116,0.0023772952842620043
anti,anti,cyc,const,9.063058721786138,0.9086201866201051,15.099690229600144,1.4632085434553435,15.237876868650119,15.69767817811384,0.13818663904997486
anti,anti,cyc,cyc,9.134666781802192,0.08144970133588814,15.062957749127666,0.775096664881244,15.236363578421631,15.821706976293084,0.17340582929396575
anti,anti,cyc,anti,9.203822987016396,0.07110607715830497,15.099893465279315,0.7603749441783927,14.959943749331769,15.941489037382746,0.13994971594754624
anti,anti,const,const,9.214518908290982,1.5872105210089487,15.097147848658118,2.4049325065466456,15.299680764198445,15.960014916464088,0.2025329155403277
anti,anti,const,cyc,9.325692931065493,1.7700541813597113,15.060762138992082,1.7365121090191398,15.298021413127303,16.152573972391355,0.23725927413522108
anti,anti,anti,const,9.326111953479263,0.8531512614234202,15.260752278456065,1.447336240539252,15.298895992058712,16.153299740501517,0.03814371360264701
anti,anti,const,anti,9.367147742987493,1.7384815946566157,15.097348710124798,1.7212904908946203,14.992119437479024,16.224375812858476,0.10522927264577397
anti,anti,anti,cyc,9.39349347391447,0.10442575600721682,15.208547962938507,0.7589068192365438,15.29723832516705,16.270007957386536,0.08869036222854376
anti,anti,anti,anti,9.445142057578192,0.09258323299414783,15.261028442809215,0.744586507688111,14.991528858446278,16.359465928431074,0.2694995843629364
cyc,anti,cyc,anti,9.518387234410417,0.044048619449341686,18.020234633968492,6.69753701865222,15.339210938972707,16.48633029611385,2.681023694995785
cyc,anti,cyc,cyc,9.535133473291413,0.0519688200593329,17.901445814674872,6.717081975457721,15.047470415997479,16.51533563269143,2.8539753986773935
