point_index,d_a_meV,d_b_meV,d_c_meV,v3_ab_common_meV,v3_ab_orbital_selective_meV,v3_c_meV,solver_iterations,solver_residual_norm_meV,kspace_v3_ab_common_meV,kspace_v3_ab_orbital_selective_meV,kspace_v3_c_meV,kspace_d_a_meV,kspace_d_b_meV,kspace_d_c_meV
0,1.7763568394002505e-15,1.77635683940025e-15,3.5527136788004978e-15,1.7763568394002505e-15,1.972152263052529e-31,3.5527136788004978e-15,0,7.944109290391274e-15,-0.1821423675911834,6.779379261113963e-15,0.03514802985065054,-0.18214236759117663,-0.18214236759119018,0.03514802985065054
1,-0.0156913757998896,-0.0116772288658916,0.0265864269035241,-0.0136843023328906,-0.002007073466999,0.0265864269035241,8,0.018751200889473,-0.1825364373119634,-0.06188279855095949,0.05780378112734292,-0.24441923586292288,-0.1206536387610039,0.05780378112734292
2,-0.0534477225639629,-0.0601453354333436,0.1104655903401087,-0.0567965289986532,0.0033488064346903,0.1104655903401087,7,0.076857455442303,-0.18402823190932271,-0.1185135437921763,0.12351466727918341,-0.302541775701499,-0.06551468811714642,0.12351466727918341
3,-0.1318017204518148,-0.1361350710560933,0.2609046529488879,-0.133968395753954,0.0021666753021392,0.2609046529488879,10,0.1781904997027875,-0.18924573889937107,-0.16490703802362647,0.22912876272112306,-0.3541527769229975,-0.024338700875744607,0.22912876272112306
4,-0.1875219196512935,-0.2510098217139772,0.4277184797262099,-0.2192658706826354,0.0317439510313418,0.4277184797262099,9,0.3198188909057232,-0.2018891917604354,-0.19660196445901926,0.36970276746491515,-0.39849115621945463,-0.0052872273014161475,0.36970276746491515
5,-0.3141286612892752,-0.3754336442142653,0.6700700398432747,-0.3447811527517703,0.030652491462495,0.6700700398432747,6,0.5089663819682821,-0.22590709900978867,-0.2098982500628832,0.5389256125696242,-0.4358053490726719,-0.016008848946905463,0.5389256125696242
6,-0.3509525304568617,-0.4921843227840822,0.81510895415266,-0.4215684266204719,0.0706158961636102,0.81510895415266,5,0.7319623106361534,-0.26466702126282304,-0.20206495689589696,0.7296382765565699,-0.46673197815872003,-0.06260206436692609,0.7296382765565699
7,-0.3509525304568617,-0.4921843227840822,0.81510895415266,-0.4215684266204719,0.0706158961636102,0.81510895415266,0,1.0040651650560528,-0.3203139300592132,-0.1715089940453014,0.9343903049185153,-0.4918229241045146,-0.14880493601391181,0.9343903049185153
8,-0.5308337490041313,-0.8901768909538766,1.3915656899460334,-0.7105053199790039,0.1796715709748726,1.3915656899460334,6,1.2858357265277194,-0.3934355908751176,-0.11789519888003823,1.1459732105319307,-0.5113307897551558,-0.27554039199507935,1.1459732105319307
9,-0.5308337490041313,-0.8901768909538766,1.3915656899460334,-0.7105053199790039,0.1796715709748726,1.3915656899460334,0,1.567360817788875,-0.48305850292861896,-0.042208848329165216,1.3578787362889866,-0.5252673512577841,-0.44084965459945374,1.3578787362889866
10,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,1,1.8700288068908228,-0.5869133712392652,0.05324745362361904,1.564644012031922,-0.5336659176156462,-0.6401608248628843,1.564644012031922
11,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,0,2.183303480432923,-0.7018593758241723,0.1649291753859852,1.7620631984181905,-0.5369302004381872,-0.8667885512101575,1.7620631984181905
12,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,0,2.5020372580967924,-0.8243482511488162,0.2882021734155507,1.9472632621538366,-0.5361460777332654,-1.112550424564367,1.9472632621538366
13,-0.3728586293158479,-1.126363919899286,1.4685180936153197,-0.7496112746075669,0.3767526452917191,1.4685180936153197,11,2.811910660816572,-0.9508337652847438,0.41757374096171684,2.1186573480584188,-0.533260024323027,-1.3684075062464607,2.1186573480584188
14,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,11,3.1008579975532995,-1.0780728693248969,0.5470004956475368,2.2758008257637856,-0.53107237367736,-1.6250733649724336,2.2758008257637856
15,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,0,3.408743072281881,-1.2033049794721449,0.6702665130939156,2.419181499624918,-0.5330384663782293,-1.8735714925660605,2.419181499624918
16,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,0,3.716787468276282,-1.3243247196485801,0.7814193924763104,2.5499766861390207,-0.5429053271722697,-2.1057441121248903,2.5499766861390207
17,-0.1186859186694671,-1.7188710406708785,1.8016064217642689,-0.9187784796701728,0.8000925610007057,1.8016064217642689,1,4.023425778995538,-1.4394775288071635,0.8752452432487864,2.6698067113411263,-0.5642322855583771,-2.31472277205595,2.6698067113411263
18,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,4,4.294768352984663,-1.5476091048235117,0.9477560789223638,2.780508209363493,-0.5998530259011479,-2.4953651837458755,2.780508209363493
19,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,4.575638798072978,-1.64799370115439,0.9966551324642215,2.883942943295773,-0.6513385686901684,-2.6446488336186116,2.883942943295773
20,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,4.854874498807959,-1.740257769364699,1.0217377356449873,2.981850134443945,-0.7185200337197117,-2.7619955050096863,2.981850134443945
21,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,5.131599081341447,-1.8243077386188855,1.0251784904407326,3.0757435639450073,-0.7991292481781529,-2.849486229059618,3.0757435639450073
22,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,5.404997057062569,-1.900265356146,1.0116507149159304,3.166849666631627,-0.8886146412300695,-2.9119160710619303,3.166849666631627
23,0.5746226971497687,-3.877154720369148,3.226325873370606,-1.6512660116096898,2.2258887087594585,3.226325873370606,6,5.67174987945555,-1.9684110852599714,0.9882231724141192,3.2560797229778826,-0.9801879128458523,-2.9566342576740907,3.2560797229778826
24,0.5746226971497687,-3.877154720369148,3.226325873370606,-1.6512660116096898,2.2258887087594585,3.226325873370606,0,5.913600281269452,-2.029134967869237,0.9639838915283939,3.344028000531812,-1.0651510763408432,-2.9931188593976312,3.344028000531812
25,0.5746226971497687,-3.877154720369148,3.226325873370606,-1.6512660116096898,2.2258887087594585,3.226325873370606,0,6.151629095951924,-2.082894378554021,0.9493537935986105,3.4309880483080284,-1.1335405849554105,-3.0322481721526318,3.4309880483080284
26,0.2008600011852139,-3.7017985152483095,3.0178136141412213,-1.750469257031548,1.9513292582167616,3.0178136141412213,4,6.382397018884992,-2.130178702771294,0.955076388893963,3.5169810247112734,-1.175102313877331,-3.085255091665257,3.5169810247112734
