point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_corrected,E_tb_2_corrected,E_tb_3_corrected
0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734,-20.146045353172727,-23.75000000000001,-36.526045353172734
1,-20.13638992630836,-23.75951852124885,-36.52515304964449,-20.109865293869838,-23.785614029296223,-36.524799995606095,-20.12320320240074,-23.759374932057558,-36.53848336207615
2,-20.10770377633411,-23.7877807440017,-36.52248994314877,-20.003232963875906,-23.890470279882436,-36.52114375129368,-20.054514595358654,-23.785535820937987,-36.57792404641259
3,-20.06078469744631,-23.83394916854013,-36.51809751988627,-19.833847818576874,-24.05674759702041,-36.515203834056294,-19.940434914239844,-23.823322407286195,-36.649074066686595
4,-19.99683434996827,-23.89675571124143,-36.51204516940717,-19.612691877941643,-24.273334776479164,-36.50711861050694,-19.760203502820456,-23.917567793060595,-36.726187230685724
5,-19.91730757035001,-23.97465202551091,-36.50443055136041,-19.350643046902462,-24.52921539347497,-36.497039438098376,-19.538041814259277,-24.01717438483458,-36.841173945042236
6,-19.82376246057797,-24.06595890021456,-36.49538010440797,-19.05679955024771,-24.815141038828216,-36.48513297641732,-19.242328062836695,-24.236947475972794,-36.90582592577204
7,-19.71773798180933,-24.16898801625031,-36.48504969185429,-18.738173354101693,-25.1239350090756,-36.47158405293847,-18.894584134447165,-24.575402833135996,-36.891733347620885
8,-19.60067000508874,-24.28212511676698,-36.47362537562707,-18.399991252412075,-25.450187666497552,-36.45659918889434,-18.566008287977265,-24.604587450524583,-37.16562731931408
9,-19.47384421640941,-24.40387620614245,-36.46132430624219,-18.04612819721495,-25.789818754833128,-36.44041092076086,-18.184929953088563,-24.97270636629139,-37.14816650344095
10,-19.33837780918531,-24.53288486244486,-36.44839571096467,-17.67948777444263,-26.139691597257432,-36.42328308907089,-17.797599370470707,-25.344253222069717,-37.13007813437998
11,-19.19522048704019,-24.6679301654519,-36.43512195519435,-17.30228947059304,-26.497319316328433,-36.405517309587,-17.404822566023412,-25.719051757228318,-37.1107200394062
12,-19.04516665462996,-24.80791339681873,-36.42181964277324,-16.916272794302635,-26.86065274637821,-36.387460892383565,-17.00714632799901,-26.096068113552104,-37.09064025766273
13,-18.88887292164209,-24.95183943340943,-36.40884070906576,-16.522838924092234,-27.227929045315594,-36.369516530675135,-16.603909551372002,-26.42949523534039,-37.11758416897041
14,-18.72687715883041,-25.09879665578881,-36.39657344596407,-16.12314840626412,-27.597562102565096,-36.3521541387681,-16.1825118935311,-26.61994962566825,-37.30630931969644
15,-18.55961695308148,-25.24793760349842,-36.38544338020837,-15.718188717587047,-27.968060500859124,-36.335925266870404,-15.775489262452497,-26.996219808120856,-37.28637160604168
16,-18.38744638870457,-25.39846154936997,-36.37591390558634,-15.308821308217027,-28.337962970820442,-36.32148053846922,-15.366008574334389,-27.371088192452945,-37.267074242017856
17,-18.2106507436151,-25.54959952716973,-36.36848654606034,-14.895814636963292,-28.70578443296603,-36.30959050363751,-14.954591266182163,-27.742525587074017,-37.25002325788671
18,-18.02945906073332,-25.70060200049411,-36.3637007015901,-14.479867573018108,-29.069968053399737,-36.30117010799204,-14.490379707573737,-27.74134636159872,-37.68858371169246
19,-17.84405474285759,-25.85072919823433,-36.36213270308811,-14.061626106522336,-29.428840625055603,-36.29730652318371,-14.081811260764104,-28.099174655462615,-37.676091384989974
20,-17.65458439853863,-25.99924408530898,-36.36439398029393,-13.641695360422423,-29.780570435620163,-36.29928918545794,-13.672397596604492,-28.45226215265649,-37.666199278694606
21,-17.4611651856525,-26.14540793421279,-36.3711281303362,-13.220648265563955,-30.123129017358835,-36.30863928524126,-13.262548415864806,-28.79963760200446,-37.659534596749836
22,-17.26389088798408,-26.28847847846729,-36.38300667059816,-12.799031840079936,-30.454261196221772,-36.327133349454414,-12.852676132333269,-29.140255182261342,-37.65679911761656
23,-17.06283693523548,-26.42771063990824,-36.40072327355416,-12.377371730762626,-30.77147191218781,-36.356811787043085,-12.351060273485041,-29.001377929199663,-38.229423377157616
24,-16.85806454778277,-26.56235981173653,-36.42498632034149,-11.956175481396276,-31.072043087058116,-36.3999586566817,-11.949729169214356,-29.319701814503144,-38.23495239126735
25,-16.6496241589743,-26.69168763739432,-36.45650968022979,-11.53593486054858,-31.3530978964569,-36.45903496754428,-11.54939770135427,-29.62925877531244,-38.245617397731834
26,-16.43755824195579,-26.81497014549873,-36.49600172878724,-11.117127489235612,-31.611729773899064,-36.53654794502242,-11.307306231273646,-30.17248595262632,-38.26873792417904
27,-16.22190364567596,-26.93150798301948,-36.54415275792175,-10.700217944165573,-31.845204240104337,-36.63484799266465,-10.909362323887557,-30.463328589180186,-38.29070416378867
28,-16.00269352591003,-27.04063833971281,-36.60162109896479,-10.285658466300154,-32.051219278625034,-36.755867499694155,-10.513821665408239,-30.740367092949032,-38.32169825136815
29,-15.77995894153854,-27.14174799209385,-36.6690184602987,-9.873889371481054,-32.22817788865639,-36.90084776665711,-10.122111024298963,-31.00882511778436,-38.355120649817344
30,-15.55373017351426,-27.23428673868553,-36.74689515037486,-9.465339235950028,-32.375400415174894,-37.070126376398434,-9.733487376153333,-31.262873451462816,-38.39764696501336
31,-15.32403781350006,-27.31778037927369,-36.83572598643094,-9.060424912084287,-32.493206493642646,-37.26305511798092,-9.343183081283648,-31.4537117946303,-38.503929318068415
32,-15.09091366065769,-27.39184233918393,-36.93589774943235,-8.659551416736987,-32.5828360752004,-37.47807895541301,-8.964267379796754,-31.68189728642274,-38.558439451405405
33,-14.85439145815567,-27.45618307828015,-37.04769901399094,-8.263111724936987,-32.646237074868,-37.71294846609513,-8.585886414555679,-31.858025793485506,-38.6634436372837
34,-14.61450749534194,-27.5106165627588,-37.17131304926249,-7.871486494462027,-32.68578879563043,-37.964996570775284,-8.202174964670698,-31.923639694908893,-38.885306491835806
35,-14.37130109695051,-27.5550633065994,-37.30681426261612,-7.4850437413175985,-32.704034702760275,-38.231405960817696,-7.831702859545867,-32.03701666583299,-39.04297945411429
36,-14.12481501697444,-27.5895497807123,-37.4541683704245,-7.104138481969993,-32.703472938421314,-38.50941881708026,-7.237896700012513,-31.54365293541977,-39.61364589636658
37,-13.87509575178277,-27.61420429982416,-37.61323617137947,-6.729112354968039,-32.68642034751626,-38.79647303699396,-6.895441432723632,-31.71916500750081,-39.67596125735482
38,-13.62219378455415,-27.62924978414507,-37.78378051324059,-6.360293232098811,-32.65494237885032,-39.090272595818504,-6.561206177082115,-31.889570780739923,-39.73329320704664
39,-13.36616377104104,-27.63499401533679,-37.96547582350653,-5.997994827285402,-32.61083116352568,-39.388809732144935,-6.233116514354718,-32.044354739259745,-39.79894381893908
40,-13.10706467498332,-27.63181813936104,-38.15791944313644,-5.642516309913839,-32.55561361567338,-39.690357106045205,-5.913255403687799,-32.191588813195516,-39.86242216434667
41,-12.84495986009137,-27.6201642059384,-38.36064396669406,-5.294141928076933,-32.49057532335784,-39.993444156740466,-5.598537797220355,-32.31430497043234,-39.9450438201128
42,-12.57991714436443,-27.60052248610381,-38.57312984168905,-4.953140646269827,-32.416790720932525,-40.29682716416927,-5.295646874474236,-32.44184393442079,-40.008992902066886
43,-12.31200882155566,-27.57341919795417,-38.7948175922331,-4.619765801309772,-32.335153939932816,-40.5994586137919,-4.975249266112957,-32.448766434507235,-40.217981123923934
44,-12.04131165380709,-27.53940512329394,-39.02511918030697,-4.294254779640169,-32.24640744539226,-40.90045875477888,-4.691118061661574,-32.56367739158409,-40.273943996075296
45,-11.76790683882862,-27.49904544031784,-39.26342817615166,-3.9768287186821456,-32.15116724089935,-41.199090565796226,-4.363783998332359,-32.48012439246576,-40.584342242045636
46,-11.4918799544593,-27.45291095004486,-39.5091285572565,-3.667692234491828,-32.049944368334906,-41.494738400382154,-4.100490289704827,-32.59106029683119,-40.62198852413895
47,-11.21332088301143,-27.40157074998832,-39.76160208008599,-3.3670331776490134,-31.943162905188856,-41.78689010728145,-3.7803456548031917,-32.490257637086074,-40.942247866244905
48,-10.93232371743852,-27.34558631353488,-40.02023426405642,-3.075022419027104,-31.83117486687097,-42.07512221686247,-3.539804233697311,-32.601752593062486,-40.95552764401556
49,-10.64898665107846,-27.28550686816483,-40.28441909290642,-2.791813666864339,-31.714272477877675,-42.35908772852159,-3.244944046266279,-32.53137322721065,-41.219957933379575
50,-10.36341185248792,-27.22186592676591,-40.55356257771921,-2.51754331636272,-31.592698258382686,-42.638506051466614,-3.016319960837581,-32.61486879052557,-41.25111797854916
51,-10.07570532669654,-27.15517880879373,-40.82708534354175,-2.252330332875872,-31.466653323646575,-42.91315470060478,-2.7813430729830455,-32.65450847583946,-41.33614229496685
52,-9.785976764061292,-27.08594098633862,-41.10442440338716,-1.9962761696061768,-31.33630423481143,-43.18286240822823,-2.3964079869915746,-32.308040144360184,-42.00821362250778
53,-9.49433937778497,-27.01462709910441,-41.38503427457849,-1.749464720608251,-31.201788682098677,-43.44750336985858,-2.1916831095335687,-31.575075219859464,-44.127242437841346
54,-9.200909731073164,-26.94169049757965,-41.66838757720501,-1.5119623097879096,-31.063220229898928,-43.70699239424519,-2.0222978374048486,-31.56992798426265,-44.21876196361306
55,-8.905807554835395,-26.86756319200221,-41.95397523621232,-1.2838177164902402,-30.920692309233214,-43.96128077161305,-1.8495332746158426,-31.53073754844141,-44.347075145464146
56,-8.609155556785039,-26.79265610375182,-42.24130638966322,-1.0650622381833943,-30.774281606494807,-44.210352710910165,-1.6751673452920037,-31.46317792696446,-44.504772771174274
57,-8.311079222753989,-26.71735953404764,-42.52990808750331,-0.8557097906662772,-30.62405096748343,-44.454222226774746,-1.5200456487174825,-31.407887025053036,-44.63041418132841
58,-8.011706611010347,-26.64204378140158,-42.81932484861941,-0.6557570461550505,-30.47005191153398,-44.692930381221345,-1.350478533490418,-31.29913682946087,-44.823459877325746
59,-7.711168140346263,-26.56705985376427,-43.1091181295134,-0.4651836095351999,-30.312326831034124,-44.926542804617135,-1.1979310715845453,-31.197114807983766,-44.99230023968953
60,-7.40959637268736,-26.49274023359382,-43.39886574563616,-0.2839522330000399,-30.150910935936924,-45.15514743626643,-1.0453638618775032,-31.070140439590364,-45.18569806095094
61,-7.107125790962131,-26.41939966426112,-43.68816127625627,-0.11200906923479984,-29.985833990256886,-45.37885243759882,-0.8982145085253059,-30.930155544103926,-45.38631666747928
62,-6.803892572958921,-26.34733593447213,-43.97661347548166,0.05071603675779921,-29.817121877371125,-45.597784241177095,-0.75699370907764,-30.77755239867179,-45.59329587947408
63,-6.500034361886447,-26.2768306439812,-44.26384570546995,0.20430921715439893,-29.644798022739263,-45.81208570700686,-0.6211131610938428,-30.613077147841626,-45.80652040899488
64,-6.195690034342666,-26.20814993904179,-44.54949540270257,0.34887221215627634,-29.468884696007166,-46.02191436433222,-0.48446894061975887,-30.430931240584822,-46.01466287231715
65,-5.890999466383378,-26.14154521003709,-44.83321358421462,0.4845219622722348,-29.289404209064813,-46.227440722554206,-0.3571757309477346,-30.244655280459543,-46.21863922256453
66,-5.586103298366355,-26.07725374676922,-45.11466439765027,0.6113901621922098,-29.106380022242,-46.42884663935395,-0.08747318508339319,-29.12761793847229,-47.56293029147926
67,-5.281142699230543,-26.01549934915628,-45.39352471676128,0.7296227764731184,-28.919837767261086,-46.62632373772695,-0.14307849078979196,-29.033282330367804,-47.494377060745364
68,-4.976259130849042,-25.95649289275013,-45.66948378232094,0.839379517329223,-28.72980619267508,-46.820071866592784,-0.20770235615102628,-28.93043365432946,-47.42659834372627
69,-4.671594113073073,-25.90043284967939,-45.94224288725702,0.9408332848955939,-28.536318035190416,-47.01029760203992,-0.2806420841454109,-28.82054644343153,-47.358856127002014
70,-4.367288990059417,-25.8475057664498,-46.21151510400173,1.0341695704146208,-28.33941081841738,-47.19721278819865,-0.36161254853152514,-28.703744981976968,-47.29139278892511
71,-4.063484698447771,-25.79788670058681,-46.47702505153291,1.1195858228839215,-28.13912757913948,-47.38103311826731,-0.45018225537188705,-28.580515761336784,-47.22421392485036
72,-3.760321537925722,-25.75173961844861,-46.73850869926255,1.1972907797998937,-27.935517520088585,-47.56197675740923,-0.5458944750414396,-28.45135698250457,-47.15733599637318
73,-3.457938944689603,-25.70921775672986,-46.9957132047673,1.2675037627366856,-27.728636587417398,-47.74026301013364,-0.6482666596261364,-28.31677330088849,-47.09079212059279
74,-3.156475268278868,-25.6704639502565,-47.2483967823058,1.3304539386153584,-27.518547970531337,-47.916111035408846,-0.4092717547874223,-27.46191597838583,-48.20414826843136
75,-2.856067552229545,-25.63561092867321,-47.49632859909737,1.3863795476460417,-27.305322521654535,-48.08973861316492,-0.531462702117631,-27.31990688161152,-48.1284529380583
76,-2.556851318960716,-25.60478158457167,-47.73928869642123,1.4355270990655997,-27.08903909242822,-48.26136096605209,-0.6583942572487533,-27.17366881711189,-48.053987201759185
77,-2.258960359276206,-25.57808921551916,-47.97706793271624,1.4781505359498504,-26.869784784953346,-48.43118964035558,-0.6615450978545567,-26.76830836274919,-48.38426403785046
78,-1.962526526831602,-25.55563774233443,-48.20946794600395,1.5145103705498841,-26.64765511496892,-48.59943144985233,-0.7993261683758757,-26.61743935601976,-48.30710795356318
79,-1.66767953788604,-25.53752190583454,-48.43630113311207,1.5448727917928493,-26.422754085283042,-48.76628748615099,-0.9397219422284468,-26.464014066897345,-48.23174772637026
80,-1.374546776628541,-25.52382744414682,-48.6573906433337,1.5695087467955302,-26.19519416812585,-48.93195219870658,-0.9533184374204229,-26.05119027397422,-48.54858069905289
