point_index,d_a_meV,d_b_meV,d_c_meV,v3_ab_common_meV,v3_ab_orbital_selective_meV,v3_c_meV,solver_iterations,solver_residual_norm_meV
0,1.7763568394002505e-15,1.77635683940025e-15,3.5527136788004978e-15,1.7763568394002503e-15,1.9721522630525295e-31,3.5527136788004978e-15,0,7.944109290391274e-15
1,-0.015691375799889676,-0.011677228865891648,0.026586426903524144,-0.013684302332890662,-0.002007073466999014,0.026586426903524144,8,0.01875120088947302
2,-0.05344772256396292,-0.06014533543334365,0.1104655903401087,-0.056796528998653284,0.003348806434690363,0.1104655903401087,7,0.07685745544230305
3,-0.13180172045181482,-0.1361350710560933,0.2609046529488879,-0.13396839575395406,0.002166675302139237,0.2609046529488879,10,0.17819049970278752
4,-0.18752191965129356,-0.25100982171397723,0.4277184797262099,-0.2192658706826354,0.03174395103134184,0.4277184797262099,9,0.3198188909057232
5,-0.31412866128927525,-0.37543364421426534,0.6700700398432747,-0.3447811527517703,0.030652491462495046,0.6700700398432747,6,0.5089663819682821
6,-0.3509525304568617,-0.4921843227840822,0.81510895415266,-0.42156842662047195,0.07061589616361025,0.81510895415266,5,0.7319623106361534
7,-0.3509525304568617,-0.4921843227840822,0.81510895415266,-0.42156842662047195,0.07061589616361025,0.81510895415266,0,1.0040651650560528
8,-0.5308337490041313,-0.8901768909538766,1.3915656899460334,-0.7105053199790039,0.17967157097487269,1.3915656899460334,6,1.2858357265277194
9,-0.5308337490041313,-0.8901768909538766,1.3915656899460334,-0.7105053199790039,0.17967157097487269,1.3915656899460334,0,1.567360817788875
10,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,1,1.8700288068908228
11,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,0,2.183303480432923
12,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,0,2.5020372580967924
13,-0.3728586293158479,-1.126363919899286,1.4685180936153197,-0.7496112746075669,0.3767526452917191,1.4685180936153197,11,2.811910660816572
14,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,11,3.1008579975532995
15,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,0,3.408743072281881
16,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,0,3.7167874682762814
17,-0.11868591866946715,-1.7188710406708785,1.8016064217642687,-0.9187784796701728,0.8000925610007057,1.8016064217642687,1,4.023425778995538
18,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,4,4.294768352984663
19,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,4.575638798072978
20,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,4.854874498807959
21,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,5.131599081341447
22,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,5.404997057062569
