alpha,beta,dx,dy,real_meV,imag_meV
A,A,-3.0,0.0,-0.31,-0.0
A,A,-1.5,-2.598076,-0.31,-0.0
A,A,-1.5,-0.866025,-1.8693408921954555,-4.809486940284368
A,A,-1.5,0.866025,-1.8693408921954555,-4.809486940284368
A,A,-1.5,2.598076,-0.31,-0.0
A,A,0.0,-1.732051,-1.8693408921954555,-4.809486940284368
A,A,0.0,0.0,-15.26,0.0
A,A,0.0,1.732051,-1.8693408921954555,-4.809486940284368
A,A,1.5,-2.598076,-0.31,-0.0
A,A,1.5,-0.866025,-1.8693408921954555,-4.809486940284368
A,A,1.5,0.866025,-1.8693408921954555,-4.809486940284368
A,A,1.5,2.598076,-0.31,-0.0
A,A,3.0,0.0,-0.31,-0.0
A,B,-2.5,-0.866025,0.78,0.0
A,B,-2.0,1.732051,0.78,0.0
A,B,-1.0,-1.732051,0.7,0.0
A,B,-1.0,0.0,-4.99,0.0
A,B,-1.0,1.732051,0.7,0.0
A,B,-0.5,-2.598076,0.78,0.0
A,B,0.5,-0.866025,-4.99,0.0
A,B,0.5,0.866025,-4.99,0.0
A,B,0.5,2.598076,0.78,0.0
A,B,2.0,-1.732051,0.78,0.0
A,B,2.0,0.0,0.7,0.0
A,B,2.5,0.866025,0.78,0.0
A,C,-2.5,0.866025,1.7819596681856509,-2.4258441295680315
A,C,-2.0,0.0,-0.5750000000000003,-0.995929214352104
A,C,-2.0,1.732051,1.7819596681856522,2.4258441295680306
A,C,-0.5,-2.598076,-2.9918224759200904,0.33030027638404735
A,C,-0.5,-0.866025,-3.5600000000000023,-6.166100874945201
A,C,-0.5,0.866025,-3.5599999999999983,6.1661008749452035
A,C,0.5,2.598076,-2.9918224759200904,-0.33030027638404735
A,C,1.0,-1.732051,1.15,0.0
A,C,1.0,0.0,7.12,0.0
A,C,1.0,1.732051,-0.5749999999999997,0.9959292143521045
A,C,2.0,-1.732051,1.2098628077344398,2.756144405952078
A,C,2.5,-0.866025,1.2098628077344382,-2.756144405952079
B,A,-2.5,-0.866025,0.78,-0.0
B,A,-2.0,-0.0,0.7,-0.0
B,A,-2.0,1.732051,0.78,-0.0
B,A,-0.5,-2.598076,0.78,-0.0
B,A,-0.5,-0.866025,-4.99,-0.0
B,A,-0.5,0.866025,-4.99,-0.0
B,A,0.5,2.598076,0.78,-0.0
B,A,1.0,-1.732051,0.7,-0.0
B,A,1.0,-0.0,-4.99,-0.0
B,A,1.0,1.732051,0.7,-0.0
B,A,2.0,-1.732051,0.78,-0.0
B,A,2.5,0.866025,0.78,-0.0
B,B,-3.0,0.0,-0.31,0.0
B,B,-1.5,-2.598076,-0.31,0.0
