model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_B,s_wave,0.0,0.05,-80.0,1.0001515374831949,0.00015153748319493365,0.0
baseline,K_B,s_wave,0.0,0.05,-79.16666666666667,1.0001627521648853,0.00016275216488566258,0.0
baseline,K_B,s_wave,0.0,0.05,-78.33333333333333,1.000175533386659,0.0001755333866591625,0.0
baseline,K_B,s_wave,0.0,0.05,-77.5,1.0001902747836209,0.00019027478362097018,0.0
baseline,K_B,s_wave,0.0,0.05,-76.66666666666667,1.0002075170531994,0.00020751705319943788,0.0
baseline,K_B,s_wave,0.0,0.05,-75.83333333333333,1.0002280195606927,0.00022801956069252695,0.0
baseline,K_B,s_wave,0.0,0.05,-75.0,1.0002528749240838,0.0002528749240838898,0.0
baseline,K_B,s_wave,0.0,0.05,-74.16666666666667,1.0002836976328624,0.00028369763286228663,0.0
baseline,K_B,s_wave,0.0,0.05,-73.33333333333333,1.0003229443846884,0.00032294438468833005,0.0
baseline,K_B,s_wave,0.0,0.05,-72.5,1.000374477212641,0.00037447721264107344,0.0
baseline,K_B,s_wave,0.0,0.05,-71.66666666666667,1.0004445917364162,0.00044459173641613753,0.0
baseline,K_B,s_wave,0.0,0.05,-70.83333333333333,1.0005439746247873,0.0005439746247871417,0.0
baseline,K_B,s_wave,0.0,0.05,-70.0,1.0006733355667086,0.0006733355667087257,0.0
baseline,K_B,s_wave,0.0,0.05,-69.16666666666667,1.0008295352666237,0.0008295352666237182,0.0
baseline,K_B,s_wave,0.0,0.05,-68.33333333333333,1.000949933765001,0.0009499337650011704,0.0
baseline,K_B,s_wave,0.0,0.05,-67.5,1.0010576097740052,0.0010576097740053413,0.0
baseline,K_B,s_wave,0.0,0.05,-66.66666666666667,1.0011359425810018,0.0011359425810015748,0.0
baseline,K_B,s_wave,0.0,0.05,-65.83333333333333,1.0011968799689315,0.0011968799689318717,0.0
baseline,K_B,s_wave,0.0,0.05,-65.0,1.0011558234292297,0.0011558234292299494,0.0
baseline,K_B,s_wave,0.0,0.05,-64.16666666666667,1.0010457857954622,0.0010457857954619925,0.0
baseline,K_B,s_wave,0.0,0.05,-63.33333333333333,1.0011297344682795,0.0011297344682794047,0.0
baseline,K_B,s_wave,0.0,0.05,-62.5,1.0017234584124128,0.0017234584124130958,0.0
baseline,K_B,s_wave,0.0,0.05,-61.66666666666666,1.0027359348182283,0.002735934818227923,0.0
baseline,K_B,s_wave,0.0,0.05,-60.83333333333333,1.0036212014992485,0.0036212014992483645,0.0
baseline,K_B,s_wave,0.0,0.05,-60.0,1.0042677863308787,0.00426778633087866,0.0
baseline,K_B,s_wave,0.0,0.05,-59.16666666666666,1.0046423770982276,0.004642377098227287,0.0
baseline,K_B,s_wave,0.0,0.05,-58.33333333333333,1.0050257591590837,0.0050257591590837656,0.0
baseline,K_B,s_wave,0.0,0.05,-57.5,1.0052983801900681,0.005298380190068633,0.0
baseline,K_B,s_wave,0.0,0.05,-56.66666666666666,1.0055414235503293,0.005541423550328416,0.0
baseline,K_B,s_wave,0.0,0.05,-55.83333333333333,1.005765916542007,0.00576591654200661,0.0
baseline,K_B,s_wave,0.0,0.05,-55.0,1.0059426872485,0.005942687248499882,0.0
baseline,K_B,s_wave,0.0,0.05,-54.16666666666666,1.0061264581135652,0.006126458113565537,0.0
baseline,K_B,s_wave,0.0,0.05,-53.33333333333333,1.0063194261795894,0.0063194261795888225,0.0
baseline,K_B,s_wave,0.0,0.05,-52.5,1.0065200639122858,0.006520063912285716,0.0
baseline,K_B,s_wave,0.0,0.05,-51.66666666666666,1.0067142320094817,0.006714232009481486,0.0
