model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
baseline,K_B,s_wave,0.0,0.05,8.480849236973828,8.480849236973828,1.0408503680303545,7.439998868943474,7.480849236973828,0.0
baseline,K_T,s_wave,0.0,0.05,4.31606429162028,4.31606429162028,1.0326327603937702,3.2834315312265097,3.3160642916202803,0.0
baseline,total,s_wave,0.0,0.05,7.824110975425041,7.824110975425041,1.034710441185085,6.789400534239956,6.824110975425041,0.0
baseline,K_B,s_wave,0.5,0.05,6.984679389579063,6.984679389579063,0.7568011356195974,6.2278782539594655,5.984679389579063,0.0
baseline,K_T,s_wave,0.5,0.05,3.652851433296224,3.652851433296224,0.7928200752224018,2.860031358073822,2.6528514332962243,0.0
baseline,total,s_wave,0.5,0.05,6.4592887803400325,6.4592887803400325,0.7764993879225541,5.682789392417479,5.459288780340033,0.0
baseline,K_B,s_wave,1.0,0.05,4.740424618486914,4.740424618486914,0.3307272870034617,4.409697331483453,3.740424618486914,0.0
baseline,K_T,s_wave,1.0,0.05,2.6580321458101404,2.6580321458101404,0.43310104746534916,2.224931098344791,1.6580321458101401,0.0
baseline,total,s_wave,1.0,0.05,4.412055487712521,4.412055487712521,0.38918280802875793,4.022872679683763,3.4120554877125207,0.0
baseline,K_B,s_wave,2.0,0.05,2.496169847394767,2.496169847394767,-0.095346561612674,2.5915164090074407,1.4961698473947658,0.0
baseline,K_T,s_wave,2.0,0.05,1.6632128583240562,1.6632128583240562,0.07338201970829636,1.5898308386157598,0.6632128583240561,0.0
baseline,total,s_wave,2.0,0.05,2.3648221950850083,2.3648221950850083,0.0018662281349618366,2.3629559669500466,1.3648221950850083,0.0
baseline,K_B,s_wave,0.0,0.2,8.358346247285391,8.358346247285391,1.0407974446455892,7.317548802639802,7.358346247285391,0.0
baseline,K_T,s_wave,0.0,0.2,4.261761928766236,4.261761928766236,1.0325934266044174,3.229168502161819,3.2617619287662363,0.0
baseline,total,s_wave,0.0,0.2,7.712362433251049,7.712362433251049,1.0346676724690125,6.677694760782036,6.712362433251051,0.0
baseline,K_B,s_wave,0.5,0.2,6.8866769978283155,6.8866769978283155,0.7568841919562319,6.129792805872084,5.886676997828314,0.0
baseline,K_T,s_wave,0.5,0.2,3.609409543012989,3.609409543012989,0.7928893774475549,2.816520165565434,2.6094095430129896,0.0
baseline,total,s_wave,0.5,0.2,6.36988994660084,6.36988994660084,0.7765721686105527,5.593317777990287,5.36988994660084,0.0
baseline,K_B,s_wave,1.0,0.2,4.679173123642696,4.679173123642696,0.33101431292219585,4.3481588107205,3.6791731236426957,0.0
baseline,K_T,s_wave,1.0,0.2,2.630880964383118,2.630880964383118,0.4333333037122612,2.197547660670857,1.6308809643831181,0.0
