pairing,barrier_Z,eta_meV,kb_zero_bias_conductance,kb_peak_minus_background,kt_zero_bias_conductance,kt_peak_minus_background,kb_minus_kt_zero_bias,kb_minus_kt_peak_contrast
s_wave,0.0,0.05,1.9812639780958603,4.540915723835296,7.222287694354019,6.179087210539217,-5.241023716258159,-1.6381714867039214
s_wave,0.5,0.05,1.785011182476688,3.5859871951222253,5.977830155483215,5.534116365526155,-4.192818973006527,-1.9481291704039299
s_wave,1.0,0.05,1.4906319890479303,2.1535944020526245,4.11114384717701,4.5666600980065635,-2.6205118581290794,-2.413065695953939
s_wave,2.0,0.05,1.196252795619172,1.131246036291121,2.2444575388708046,3.5992038304869713,-1.0482047432516326,-2.4679577941958506
s_wave,0.0,0.2,1.9651952448300989,4.483668995333834,7.120394336913724,6.077244887906453,-5.155199092083625,-1.593575892572619
s_wave,0.5,0.2,1.772156195864079,3.5436733084433225,5.89631546953098,5.4525088942258275,-4.124159273666901,-1.908835585782505
s_wave,1.0,0.2,1.4825976224150492,2.133679778107555,4.060197168456862,4.51540490370489,-2.577599546041813,-2.3817251255973346
s_wave,2.0,0.2,1.1930390489660196,1.1278306039406956,2.2240788673827443,3.5783009131839507,-1.0310398184167247,-2.450470309243255
s_wave,0.0,0.5,1.8841188442643704,4.187930963275414,6.606281212612971,5.5634147072816225,-4.7221623683486005,-1.3754837440062087
s_wave,0.5,0.5,1.7072950754114964,3.3250584746965055,5.485024970090377,5.040702169716922,-3.7777298946788807,-1.7156436950204164
s_wave,1.0,0.5,1.4420594221321854,2.0307497418281373,3.803140606306485,4.256633363369869,-2.3610811841742994,-2.225883621541732
s_wave,2.0,0.5,1.176823768852874,1.1104922056898452,2.121256242522594,3.472564557022818,-0.9444324736697198,-2.362072351332973
nodal_even,0.0,0.05,1.9494632982170925,2.08240886578185,6.635732055213195,5.626871882893184,-4.686268756996102,-3.544463017111334
nodal_even,0.5,0.05,1.7595706385736745,1.1292506866680778,5.508585644170555,5.09921153965858,-3.7490150055968807,-3.9699608529905026
nodal_even,1.0,0.05,1.4747316491085465,1.0623543421207158,3.8178660276065974,4.307721024806678,-2.3431343784980507,-3.2453666826859626
nodal_even,2.0,0.05,1.1898926596434185,1.1342207664457626,2.127146411042639,3.5162305099547746,-0.9372537513992203,-2.3820097435090117
nodal_even,0.0,0.2,1.8067749964855118,2.012483712980279,4.861033015265218,3.8521819716499275,-3.0542580187797066,-1.8396982586696486
nodal_even,0.5,0.2,1.6454199971884096,1.0995052593578638,4.088826412212176,3.679308258320435,-2.443406415023766,-2.5798029989625713
nodal_even,1.0,0.2,1.4033874982427557,0.9908766902821923,2.9305165076326096,3.4199976883261947,-1.527129009389854,-2.4291209980440023
nodal_even,2.0,0.2,1.1613549992971022,1.1054658124500065,1.7722066030530434,3.1606871183319543,-0.6108516037559413,-2.0552213058819477
nodal_even,0.0,0.5,1.55381673276087,1.6940373806591311,3.080047607893319,2.0712471704588076,-1.5262308751324491,-0.37720978979967645
nodal_even,0.5,0.5,1.4430533862086958,0.9636738414261483,2.664038086314655,2.2537200825475283,-1.2209847001059593,-1.29004624112138
nodal_even,1.0,0.5,1.276908366380435,0.8636545288925768,2.0400238039466596,2.5274294506806108,-0.7631154375662246,-1.663774921788034
nodal_even,2.0,0.5,1.1107633465521742,1.0536648216328477,1.416009521578664,2.801138818813693,-0.3052461750264899,-1.7474739971808455
valley_even,0.0,0.05,1.888952697573046,4.453873869489449,6.564295380442876,5.530545002656128,-4.67534268286983,-1.0766711331666787
valley_even,0.5,0.05,1.7111621580584364,3.4990127007778575,5.451436304354301,5.01717245086806,-3.7402741462958646,-1.5181597500902022
valley_even,1.0,0.05,1.4444763487865229,2.066720947710465,3.782147690221439,4.247113623185958,-2.337671341434916,-2.1803926754754928
valley_even,2.0,0.05,1.177790539514609,1.119772394601792,2.1128590760885757,3.477054795503854,-0.9350685365739666,-2.3572824009020623
valley_even,0.0,0.2,1.762777393718299,4.396012585846728,6.158900647334139,5.125190321138334,-4.3961232536158406,-0.7291777352916053
valley_even,0.5,0.2,1.6102219149746393,3.4570461748096672,5.127120517867311,4.69275036138433,-3.516898602892672,-1.2357041865746625
valley_even,1.0,0.2,1.3813886968591493,2.0485965582540713,3.5794503236670705,4.044090421753326,-2.198061626807921,-1.995493863499255
valley_even,2.0,0.2,1.1525554787436596,1.0943230472357142,2.031780129466828,3.39543048212232,-0.8792246507231682,-2.301107434886606
valley_even,0.0,0.5,1.6294653274314304,4.098090426544812,5.208145266916764,4.174656978231075,-3.578679939485334,-0.07656655168626347
valley_even,0.5,0.5,1.5035722619451444,3.240332157414506,4.366516213533412,3.931555036865581,-2.8629439515882678,-0.6912228794510753
valley_even,1.0,0.5,1.3147326637157153,1.9536947537190472,3.1040726334583826,3.566902124817338,-1.7893399697426673,-1.6132073710982908
valley_even,2.0,0.5,1.1258930654862862,1.0664679403879778,1.8416290533833528,3.202249212769095,-0.7157359878970666,-2.1357812723811174
valley_odd,0.0,0.05,1.8875703592988795,4.45496897520445,6.563584610149789,5.529917634904281,-4.676014250850909,-1.0749486596998317
valley_odd,0.5,0.05,1.7100562874391034,3.5001071791310734,5.450867688119832,5.016687237086399,-3.7408114006807285,-1.5165800579553252
valley_odd,1.0,0.05,1.4437851796494394,2.0678144850210116,3.7817923050748945,4.246841640359572,-2.338007125425455,-2.1790271553385607
valley_odd,2.0,0.05,1.1775140718597759,1.1197201852063656,2.112716922029958,3.4769960436327474,-0.9352028501701821,-2.357275858426382
valley_odd,0.0,0.2,1.755541214612681,4.397188435834711,6.15596410022512,5.122337159489874,-4.400422885612439,-0.7251487236551624
valley_odd,0.5,0.2,1.6044329716901449,3.4582116159463263,5.124771280180096,4.69048450773251,-3.520338308489951,-1.2322728917861836
valley_odd,1.0,0.2,1.3777706073063405,2.049746386113751,3.57798205011256,4.042705530096464,-2.2002114428062196,-1.9929591439827132
valley_odd,2.0,0.2,1.151108242922536,1.0930997255214965,2.0311928200450238,3.394926552460418,-0.8800845771224877,-2.301826826938922
valley_odd,0.0,0.5,1.6225462329310147,4.099636832931495,5.207021255139801,4.173616256387099,-3.584475022208786,-0.07397942345560438
valley_odd,0.5,0.5,1.498036986344812,3.241808246734215,4.365617004111842,3.930739108119,-2.86758001776703,-0.6889308613847849
valley_odd,1.0,0.5,1.3112731164655074,1.9550653674382987,3.1035106275699014,3.5664233857168486,-1.792237511104394,-1.6113580182785499
valley_odd,2.0,0.5,1.1245092465862028,1.0653061324739852,1.8414042510279607,3.202107663314697,-0.7168950044417579,-2.136801530840712
