k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight,baseline_iterations,corrected_iterations,baseline_final_hopping_norm,corrected_final_hopping_norm
0.0,-80.0,0.0007476989328634666,0.0007222390320808184,-2.5459900782648153e-05,7.0,6.0,1.3146419015133813e-12,3.478291109584114e-11
0.0,-79.16666666666667,0.0007828172421734602,0.000754642870711826,-2.817437146163419e-05,7.0,6.0,1.8022938936129572e-12,4.4378732735820987e-11
0.0,-78.33333333333333,0.0008207933299980394,0.0007895249755102962,-3.126835448774318e-05,7.0,6.0,2.4934420617742083e-12,5.699373305781342e-11
0.0,-77.5,0.0008619755900929747,0.0008271665562594879,-3.4809033833486805e-05,7.0,6.0,3.4827584565323967e-12,7.370415509532307e-11
0.0,-76.66666666666667,0.0009067705995332324,0.0008678923330746801,-3.8878266458552274e-05,7.0,6.0,4.914690264019999e-12,9.602143538649539e-11
0.0,-75.83333333333333,0.0009556556754536497,0.0009120792183750385,-4.357645707861121e-05,7.0,7.0,7.008294582697692e-12,1.0101506013202241e-12
0.0,-75.0,0.0010091948004790966,0.0009601671497791649,-4.9027650699931644e-05,7.0,7.0,1.011051144664184e-11,1.4109276371770702e-12
0.0,-74.16666666666667,0.0010680590110469393,0.0010126727183225358,-5.538629272440346e-05,7.0,7.0,1.4768244184385514e-11,1.990599457153756e-12
0.0,-73.33333333333333,0.001133052765290026,0.0010702064655138466,-6.284629977617944e-05,7.0,7.0,2.1859273201433762e-11,2.8364063026919562e-12
0.0,-72.5,0.001205148420960608,0.0011334950472552505,-7.165337370535754e-05,7.0,7.0,3.282641915724733e-11,4.086665451216845e-12
0.0,-71.66666666666667,0.0012855318597341592,0.0012034099285689601,-8.212193116519909e-05,7.0,7.0,5.007490837726188e-11,5.9566968557258775e-12
0.0,-70.83333333333333,0.0013756636539838214,0.0012810049519986716,-9.465870198514977e-05,7.0,7.0,7.769934916753492e-11,8.80040110622445e-12
0.0,-70.0,0.001477362251382292,0.0013675661278881876,-0.00010979612349410438,8.0,7.0,2.6130183323292192e-12,1.3184222233107023e-11
0.0,-69.16666666666667,0.0015929188974794656,0.0014646785097155613,-0.00012824038776390427,8.0,7.0,4.56873170501678e-12,2.0065440406287244e-11
0.0,-68.33333333333333,0.0017252591947246757,0.001574317344846651,-0.00015094184987802465,8.0,7.0,8.198090168828102e-12,3.108975115985682e-11
0.0,-67.5,0.0018781746677750282,0.001698974342142779,-0.00017920032563224927,8.0,7.0,1.514490007989663e-11,4.917245150478509e-11
0.0,-66.66666666666667,0.002056661951517186,0.0018418357611748183,-0.00021482619034236794,8.0,7.0,2.8899441021288513e-11,7.967263491696246e-11
0.0,-65.83333333333333,0.002267431929984003,0.0020070386913845014,-0.0002603932385995015,8.0,8.0,5.7198674239825015e-11,2.9815877470309926e-12
0.0,-65.0,0.0025196955426169928,0.002200048286088661,-0.0003196472565283317,9.0,8.0,3.75369926572989e-12,5.667619355801605e-12
0.0,-64.16666666666667,0.002826415940785894,0.00242822746374666,-0.00039818847703923434,9.0,8.0,9.092631522040072e-12,1.1328528081185741e-11
0.0,-63.33333333333333,0.0032063790015839986,0.002701722905100003,-0.0005046560964839957,9.0,8.0,2.3531326179726887e-11,2.4122750643546456e-11
0.0,-62.5,0.003687769108712212,0.0030348905470499355,-0.0006528785616622765,9.0,8.0,6.586657355226827e-11,5.562752333778975e-11
0.0,-61.666666666666664,0.004314672605726415,0.003448682149875541,-0.0008659904558508736,10.0,9.0,1.0731281224906076e-11,3.8724316761846414e-12
0.0,-60.83333333333333,0.005159671643710113,0.0039748343947760825,-0.0011848372489340307,10.0,9.0,4.223055086746654e-11,1.3397226700184486e-11
0.0,-60.0,0.006350199441415484,0.00466365506164587,-0.001686544379769614,11.0,9.0,1.5313872456141316e-11,5.5270243839807083e-11
0.0,-59.166666666666664,0.008129392243073897,0.005599556464513446,-0.0025298357785604507,12.0,10.0,9.409067796746357e-12,1.3929316053625959e-11
0.0,-58.33333333333333,0.011015770659777335,0.006934957649965704,-0.004080813009811631,13.0,11.0,1.2861880383201011e-11,7.87243806842945e-12
0.0,-57.5,0.016299671444845655,0.00897350483820025,-0.007326166606645404,14.0,12.0,5.3319027401648407e-11,9.60669192450611e-12
0.0,-56.666666666666664,0.02794030245456349,0.01240929974098998,-0.015531002713573511,17.0,13.0,4.538985478229533e-11,4.130317624250237e-11
0.0,-55.83333333333333,0.059265591938383176,0.01917026068574301,-0.04009533125264017,22.0,16.0,9.18028330550089e-11,3.122440959643748e-11
0.0,-55.0,0.11286398457932795,0.0355627023742066,-0.07730128220512135,34.0,22.0,5.3917119945819345e-11,4.351415292704375e-11
0.0,-54.166666666666664,0.13039529277076906,0.06878765725274986,-0.06160763551801919,50.0,32.0,9.782019006963219e-11,6.86365505716692e-11
0.0,-53.33333333333333,0.12364412788151737,0.1044570447178307,-0.01918708316368667,64.0,37.0,7.231231780929902e-11,6.596213532118042e-11
0.0,-52.5,0.11203010768997326,0.1321251408603078,0.020095033170334536,74.0,36.0,7.616395567930329e-11,5.669396489515632e-11
