ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
const,cyc,anti,const,False,False,8.283022974223528,7.885320002260343,14.891401905996046,4.701792596543658,15.100665931095454,14.346616631615422,0.209264025099408
const,cyc,anti,const,True,False,8.291191693416211,7.872447182347955,14.882439714582366,5.227526961128456,15.129194224216944,14.360765268289917,0.24675450963457735
const,cyc,anti,anti,False,False,8.294009537918923,5.39544344374595,14.888422462945869,2.770608163711561,14.992780202446584,14.365645918136439,0.10435773950071514
const,cyc,anti,const,False,True,8.313004580844481,7.848353633104274,14.891563452418895,4.915887758722679,15.10117689007848,14.398546297575459,0.20961343765958595
const,cyc,anti,anti,False,True,8.314685596923416,5.391568121302795,14.888493903088738,3.30761667499483,14.962335699849424,14.401457902832513,0.0738417967606857
const,cyc,anti,anti,True,False,8.319940548886963,5.378433005097541,14.881132920922079,3.257315363321542,15.013259903069144,14.410559746624713,0.13212698214706542
const,cyc,anti,const,True,True,8.321381762301199,7.8342805049089534,14.882543604235046,5.445393161228051,15.129733515476968,14.413056001482717,0.24718991124192158
const,cyc,anti,anti,True,True,8.34352675907473,5.374619888477094,14.881134783486075,3.803408171948749,14.978912938347893,14.451412261027928,0.09777815486181751
cyc,cyc,anti,anti,False,False,8.37238546325572,0.03618005930289314,15.056229196529133,3.286280468694124,14.951424670245753,14.501397002909998,0.10480452628337922
cyc,cyc,anti,const,False,False,8.382761727613753,5.709873279905457,15.071275337987004,5.286815033785757,14.926223004565495,14.519369219970876,0.1450523334215088
cyc,cyc,anti,anti,False,True,8.41233500171717,0.04007995201125425,15.056736273678261,3.8144646189389477,14.999949249319254,14.570591633264156,0.05678702435900718
cyc,cyc,anti,anti,True,False,8.41891807002581,0.04032017081884476,15.03570148956088,3.7435283208289434,14.926082727078203,14.581993842044417,0.10961876248267721
cyc,cyc,anti,const,True,False,8.419772720115743,5.720866445819151,15.04962552079547,5.764914149127059,14.920164976781638,14.583474139422878,0.12946054401383122
anti,cyc,anti,const,True,False,8.425235184494293,5.610463949015392,15.047496011453838,4.104438031786285,14.922513034068086,14.592935405261056,0.12498297738575204
const,cyc,anti,cyc,False,True,8.425528595199888,5.568960964777325,15.693090660104557,6.111810137333639,15.105740500940772,14.593443607510636,0.5873501591637851
cyc,cyc,anti,const,False,True,8.427222408420675,5.749094907677014,15.071927705354597,5.511341464617599,14.926306108715144,14.596377378067569,0.14562159663945273
anti,cyc,anti,anti,False,False,8.427823833703368,0.017771313207617823,15.054313400858636,1.7809500659357276,14.957602190921861,14.59741907721415,0.09671120993677462
anti,cyc,anti,anti,True,False,8.436676577209791,0.020718402055788232,15.033699401923108,2.272963117199955,14.930451327895124,14.61275247875365,0.10324807402798442
anti,cyc,anti,const,False,False,8.438121542849167,5.599595277207907,15.069251691797346,3.538050658653465,14.930092037823659,14.615255232656242,0.13915965397368701
anti,cyc,anti,anti,False,True,8.440361823756538,0.021154225539149252,15.054816791444354,2.2680440710459266,15.007969658436005,14.619135513011033,0.04684713300834886
anti,cyc,anti,anti,True,True,8.452360310064465,0.0244470581866274,15.034150996677285,2.7852316066874714,14.970385054281978,14.639917500910283,0.06376594239530675
const,cyc,anti,cyc,True,True,8.452679171024325,5.552018572245569,15.603981297889748,6.650291570682581,15.134598853244078,14.640469784293309,0.46938244464566914
anti,cyc,anti,const,True,True,8.457360372486827,5.655536334891266,15.04810930382259,4.307497127709197,14.922641355792354,14.64857786306683,0.1254679480302361
cyc,cyc,anti,anti,True,True,8.461976457539166,0.04455820134698385,15.0361574715397,4.274456091414842,14.964385662398463,14.65657315690954,0.0717718091412376
cyc,cyc,anti,const,True,True,8.465743676125822,5.762560101131195,15.050244240681254,5.99171253007569,14.920311126447126,14.663098170904847,0.12993311423412734
anti,cyc,anti,const,False,True,8.469531884318348,5.642138110040744,15.069899435087038,3.735885899184898,14.930155089012153,14.669659539963952,0.13974434607488462
const,cyc,anti,cyc,False,False,8.472947782082661,5.5787156524140045,15.68901964298981,6.268571150147258,15.104587987939988,14.675576048445201,0.5844316550498228
cyc,cyc,anti,cyc,False,True,8.492940456621916,0.010804310160157371,16.43699647358547,6.826060657293539,14.925522927177795,14.710204376526377,1.5114735464076752
const,cyc,anti,cyc,True,False,8.501708411610876,5.561836777700536,15.599326277919744,6.813929191951323,15.133366551706525,14.725390920045735,0.4659597262132191
cyc,cyc,cyc,anti,True,False,8.514114361340239,0.018125559098137956,15.0357212415304,4.765571366015241,14.917423658377626,14.746878655293138,0.11829758315277417
cyc,cyc,cyc,anti,True,True,8.529092659338161,0.021363582273313142,15.036172566724849,5.340957199788292,14.950992245224889,14.772821828436445,0.08518032149996024
cyc,cyc,anti,cyc,True,True,8.533343643683722,0.012765220648045528,16.363207842300913,7.308719286852454,14.92025757193332,14.780184749305137,1.442950270367593
cyc,cyc,cyc,anti,False,False,8.551204750053875,0.01796683382807629,15.055878061653724,5.0427875783363385,14.93918146730904,14.811121093017634,0.11669659434468294
cyc,cyc,anti,cyc,False,False,8.551976331849936,0.01270130081620735,16.4287987352997,6.939554097249902,14.925840715538929,14.812457511890605,1.5029580197607721
const,cyc,cyc,const,True,False,8.557466287446983,8.007444106908565,14.883136166729804,5.392178970496502,15.157082111484755,14.82196639391599,0.27394594475495104
cyc,cyc,cyc,const,True,False,8.559888451960093,5.611950107869035,15.049566781944405,6.823711503875551,14.918978885591446,14.826161705916986,0.1305878963529583
cyc,cyc,cyc,anti,False,True,8.568738831082957,0.02138411200748891,15.056379583354403,5.619678955897949,14.982944057425962,14.841491012224033,0.07343552592844027
cyc,cyc,const,const,False,False,8.577998399772355,7.885730721777357,14.943815795642278,6.517682876864508,15.702104470366129,14.857529055650243,0.7582886747238504
const,cyc,cyc,const,True,True,8.587305491237977,7.971001196269839,14.883248314326678,5.605752323314062,15.15766639071545,14.873649410939393,0.2744180763887716
cyc,cyc,anti,cyc,True,False,8.592312986578984,0.014832434343716727,16.3539272278743,7.4276263062505254,14.920378265653211,14.882322647288678,1.4335489622210904
cyc,cyc,cyc,const,True,True,8.602010841060737,5.652113606139974,15.05018437695469,7.049659980319765,14.919179942564687,14.89911982397549,0.1310044343900021
cyc,cyc,cyc,const,False,False,8.60583750201906,5.599662204856081,15.07082912952199,7.114115160675588,14.921414672715345,14.905747795178645,0.14941445680664422
const,cyc,cyc,const,False,False,8.607530201028812,8.023544970640593,14.89197321546177,5.8289644685615425,15.128240751467962,14.908679635865456,0.2362675360061921
cyc,cyc,const,const,True,False,8.61173894629082,7.821477034898642,14.946685443996104,6.620077670030858,15.62874210113933,14.915969396495367,0.6820566571432263
const,cyc,cyc,anti,True,True,8.625447976901848,5.555854538634325,14.88166716680631,3.982287408044703,14.996774221915095,14.939714134036183,0.11510705510878516
const,cyc,cyc,anti,True,False,8.628491142949782,5.5597539163460254,14.881660437146545,3.432243763482987,15.03491006311957,14.944985052247072,0.15324962597302516
const,cyc,cyc,const,False,True,8.634501056776301,7.986071712649981,14.892140420026902,6.046416202669984,15.128799454912608,14.955394528343716,0.23665903488570628
cyc,cyc,const,const,False,True,8.637936015418276,7.842783010060437,14.944062933707604,6.744659828197508,15.701301020713537,14.961344051233516,0.7572380870059323
cyc,cyc,cyc,const,False,True,8.643761552637226,5.642535906431162,15.071480039510849,7.342081652665584,14.921552921571925,14.97143417767812,0.14992711793892433
cyc,cyc,const,anti,False,False,8.644360430326127,5.39788490444352,14.940840874870606,4.46503115903024,15.995294625847132,14.972471464262817,1.054453750976526
cyc,cyc,const,const,True,True,8.66650382360114,7.8717401580003,14.946914289950527,6.847291060664009,15.627987025203515,15.010824946467116,0.6810727352529877
cyc,cyc,const,anti,False,True,8.68045593213846,5.394320101682814,14.940836133380191,5.026024036910853,16.193541928407228,15.034990707326468,1.2527057950270368
cyc,cyc,const,anti,True,False,8.683984492658052,5.344537954179252,14.944159113380467,4.563192277141517,15.909241703822778,15.041102353423986,0.9650825904423108
const,cyc,cyc,anti,False,True,8.68831228589059,5.577838875010787,14.888969814169966,4.396087551974014,14.979260028570957,15.048598311187394,0.09029021440099072
const,cyc,cyc,anti,False,False,8.690998106116997,5.581685257817254,14.88889636231172,3.836264135897617,15.01375511997392,15.053250288279527,0.12485875766220111
anti,cyc,anti,cyc,False,True,8.69905008395348,0.013047595158468539,16.432133114780047,4.8177149791475395,14.929118817916951,15.067196722993735,1.5030142968630962
anti,cyc,anti,cyc,True,True,8.701142376814435,0.013764249282935737,16.35783840146878,5.403184570647799,14.92236344185528,15.07082068053322,1.435474959613499
anti,cyc,const,const,False,False,8.715006765743638,8.023946898820029,14.943137771850777,4.072460806166582,15.715985583533604,15.094834506574497,0.7728478116828263
anti,cyc,const,const,True,False,8.716615160183352,7.958333253117324,14.946108330660802,4.074684292120785,15.644808649188358,15.097620327462693,0.6987003185275551
cyc,cyc,const,cyc,False,True,8.717917987695166,5.571032614309402,15.719694964779489,7.982572409363112,15.689997648126633,15.099876890906653,0.029697316652855577
cyc,cyc,const,anti,True,True,8.722236780571128,5.336242967953268,14.944138209730578,5.127085013578615,16.099239943614645,15.107357259595188,1.1551017338840666
const,cyc,cyc,cyc,True,True,8.727260920064772,5.731988977978011,15.608762542738827,6.707902440015553,15.163059462068091,15.11605932446249,0.44570308067073583
cyc,const,anti,anti,False,False,8.73431760119486,5.707904591577741,15.050971833336357,4.967097110551524,15.030542021360684,15.128281854712617,0.020429811975672507
anti,cyc,cyc,const,True,False,8.737789774067263,5.50294815086383,15.047502459760793,3.369446621757154,14.920091760318122,15.134295834540282,0.12741069944267025
const,const,anti,anti,False,False,8.738728878380904,7.885055939874626,14.88776676045819,4.475326507986265,14.969692247061701,15.135922410925115,0.08192548660351129
anti,cyc,cyc,anti,True,True,8.747152244764242,0.013889279998696935,15.034224430673511,2.073444958654279,14.955720410625084,15.150512109471823,0.07850402004842749
const,cyc,cyc,cyc,True,False,8.752157060241945,5.7416248684476034,15.603922335401801,6.9119586313112285,15.161684122960633,15.159180704161713,0.44223821244116834
anti,cyc,anti,cyc,False,False,8.75431515236121,0.016028287701971067,16.4240241335916,4.989445124046765,14.929506355866636,15.162918629359694,1.4945177777249654
anti,cyc,cyc,anti,True,False,8.757479662873594,0.011197049213365062,15.033777228785462,1.5917773598136833,14.920545164965246,15.168399722348228,0.11323206382021667
const,const,anti,anti,False,True,8.758006117323585,7.890802956649189,14.887819214631696,4.879922212478556,14.977361952814132,15.169311568203483,0.08954273818243585
