point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734
1,-20.13638992630836,-23.75951852124885,-36.52515304964449,-20.109865293869838,-23.785614029296223,-36.524799995606095
2,-20.10770377633411,-23.7877807440017,-36.52248994314877,-20.003232963875906,-23.890470279882436,-36.52114375129368
3,-20.06078469744631,-23.83394916854013,-36.51809751988627,-19.833847818576874,-24.05674759702041,-36.515203834056294
4,-19.99683434996827,-23.89675571124143,-36.51204516940717,-19.612691877941643,-24.273334776479164,-36.50711861050694
5,-19.91730757035001,-23.97465202551091,-36.50443055136041,-19.350643046902462,-24.52921539347497,-36.497039438098376
6,-19.82376246057797,-24.06595890021456,-36.49538010440797,-19.05679955024771,-24.815141038828216,-36.48513297641732
7,-19.71773798180933,-24.16898801625031,-36.48504969185429,-18.738173354101693,-25.1239350090756,-36.47158405293847
8,-19.60067000508874,-24.28212511676698,-36.47362537562707,-18.399991252412075,-25.450187666497552,-36.45659918889434
9,-19.47384421640941,-24.40387620614245,-36.46132430624219,-18.04612819721495,-25.789818754833128,-36.44041092076086
10,-19.33837780918531,-24.53288486244486,-36.44839571096467,-17.67948777444263,-26.139691597257432,-36.42328308907089
11,-19.19522048704019,-24.6679301654519,-36.43512195519435,-17.30228947059304,-26.497319316328433,-36.405517309587
12,-19.04516665462996,-24.80791339681873,-36.42181964277324,-16.916272794302635,-26.86065274637821,-36.387460892383565
13,-18.88887292164209,-24.95183943340943,-36.40884070906576,-16.522838924092234,-27.227929045315594,-36.369516530675135
14,-18.72687715883041,-25.09879665578881,-36.39657344596407,-16.12314840626412,-27.597562102565096,-36.3521541387681
15,-18.55961695308148,-25.24793760349842,-36.38544338020837,-15.718188717587047,-27.968060500859124,-36.335925266870404
16,-18.38744638870457,-25.39846154936997,-36.37591390558634,-15.308821308217027,-28.337962970820442,-36.32148053846922
17,-18.2106507436151,-25.54959952716973,-36.36848654606034,-14.895814636963292,-28.70578443296603,-36.30959050363751
18,-18.02945906073332,-25.70060200049411,-36.3637007015901,-14.479867573018108,-29.069968053399737,-36.30117010799204
19,-17.84405474285759,-25.85072919823433,-36.36213270308811,-14.061626106522336,-29.428840625055603,-36.29730652318371
20,-17.65458439853863,-25.99924408530898,-36.36439398029393,-13.641695360422423,-29.780570435620163,-36.29928918545794
21,-17.4611651856525,-26.14540793421279,-36.3711281303362,-13.220648265563955,-30.123129017358835,-36.30863928524126
22,-17.26389088798408,-26.28847847846729,-36.38300667059816,-12.799031840079936,-30.454261196221772,-36.327133349454414
23,-17.06283693523548,-26.42771063990824,-36.40072327355416,-12.377371730762626,-30.77147191218781,-36.356811787043085
24,-16.85806454778277,-26.56235981173653,-36.42498632034149,-11.956175481396276,-31.072043087058116,-36.3999586566817
25,-16.6496241589743,-26.69168763739432,-36.45650968022979,-11.53593486054858,-31.3530978964569,-36.45903496754428
26,-16.43755824195579,-26.81497014549873,-36.49600172878724,-11.117127489235612,-31.611729773899064,-36.53654794502242
27,-16.22190364567596,-26.93150798301948,-36.54415275792175,-10.700217944165573,-31.845204240104337,-36.63484799266465
