point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_compressed,E_tb_2_compressed,E_tb_3_compressed
0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734,-20.737380599659264,-22.633948099600246,-37.11738099505659
1,-20.13638992630836,-23.75951852124885,-36.52515304964449,-20.109865293869838,-23.785614029296223,-36.524799995606095,-20.693534037853503,-22.65880435384144,-37.13690412703748
2,-20.10770377633411,-23.7877807440017,-36.52248994314877,-20.003232963875906,-23.890470279882436,-36.52114375129368,-20.532771561923436,-22.798967426594775,-37.1544780819143
3,-20.06078469744631,-23.83394916854013,-36.51809751988627,-19.833847818576874,-24.05674759702041,-36.515203834056294,-20.28933482096617,-23.020093661940514,-37.170211209161785
4,-19.99683434996827,-23.89675571124143,-36.51204516940717,-19.612691877941643,-24.273334776479164,-36.50711861050694,-19.994608908207304,-23.290694012075154,-37.18421744972883
5,-19.91730757035001,-23.97465202551091,-36.50443055136041,-19.350643046902462,-24.52921539347497,-36.497039438098376,-19.66799769258144,-23.591258064650145,-37.196616963224564
6,-19.82376246057797,-24.06595890021456,-36.49538010440797,-19.05679955024771,-24.815141038828216,-36.48513297641732,-19.32036756316604,-23.91080947670542,-37.20753693087468
7,-19.71773798180933,-24.16898801625031,-36.48504969185429,-18.738173354101693,-25.1239350090756,-36.47158405293847,-18.95790053202334,-24.243051863863638,-37.21711254018534
8,-19.60067000508874,-24.28212511676698,-36.47362537562707,-18.399991252412075,-25.450187666497552,-36.45659918889434,-18.584314138558398,-24.58414769209801,-37.225488161118854
9,-19.47384421640941,-24.40387620614245,-36.46132430624219,-18.04612819721495,-25.789818754833128,-36.44041092076086,-18.20199968461293,-24.931578629437315,-37.232818727507336
10,-19.33837780918531,-24.53288486244486,-36.44839571096467,-17.67948777444263,-26.139691597257432,-36.42328308907089,-17.812605956589028,-25.283560184149916,-37.23927134130084
11,-19.19522048704019,-24.6679301654519,-36.43512195519435,-17.30228947059304,-26.497319316328433,-36.405517309587,-17.41734878085685,-25.638730262527933,-37.24502712085908
