point_index,d_a_meV,d_b_meV,d_c_meV,v3_ab_common_meV,v3_ab_orbital_selective_meV,v3_c_meV,solver_iterations,solver_residual_norm_meV,compressed_v3_ab_common_meV,compressed_v3_ab_orbital_selective_meV,compressed_v3_c_meV,compressed_d_a_meV,compressed_d_b_meV,compressed_d_c_meV
0,1.7763568394002505e-15,1.77635683940025e-15,3.5527136788004978e-15,1.7763568394002505e-15,1.972152263052529e-31,3.5527136788004978e-15,0,7.944109290391274e-15,-0.5913354441851987,0.0017995288364650243,1.1160519003997686,-0.5895359153487336,-0.5931349730216637,1.1160519003997686
1,-0.0156913757998896,-0.0116772288658916,0.0265864269035241,-0.0136843023328906,-0.002007073466999,0.0265864269035241,8,0.018751200889473,-0.6121435362308429,0.0020330921633435407,1.1553238725014296,-0.6101104440674994,-0.6141766283941865,1.1553238725014296
2,-0.0534477225639629,-0.0601453354333436,0.1104655903401087,-0.0567965289986532,0.0033488064346903,0.1104655903401087,7,0.076857455442303,-0.633507836243091,0.0022950874777915064,1.1956455971056856,-0.6312127487652995,-0.6358029237208825,1.1956455971056856
3,-0.1318017204518148,-0.1361350710560933,0.2609046529488879,-0.133968395753954,0.0021666753021392,0.2609046529488879,10,0.1781904997027875,-0.6554356852891788,0.0025887176073474674,1.2370309281634935,-0.6528469676818314,-0.6580244028965263,1.2370309281634935
4,-0.1875219196512935,-0.2510098217139772,0.4277184797262099,-0.2192658706826354,0.0317439510313418,0.4277184797262099,9,0.3198188909057232,-0.6779342039517339,0.0029175105962805604,1.2794933028199338,-0.6750166933554533,-0.6808517145480144,1.2794933028199338
5,-0.3141286612892752,-0.3754336442142653,0.6700700398432747,-0.3447811527517703,0.030652491462495,0.6700700398432747,6,0.5089663819682821,-0.7010102777835943,0.003285347041558025,1.323045713586832,-0.6977249307420362,-0.7042956248251523,1.323045713586832
6,-0.3509525304568617,-0.4921843227840822,0.81510895415266,-0.4215684266204719,0.0706158961636102,0.81510895415266,5,0.7319623106361534,-0.724670543182083,0.0036964883372976385,1.3677006811112704,-0.7209740548447854,-0.7283670315193806,1.3677006811112704
7,-0.3509525304568617,-0.4921843227840822,0.81510895415266,-0.4215684266204719,0.0706158961636102,0.81510895415266,0,1.0040651650560528,-0.7489213740054047,0.004155605295434607,1.4134702280542333,-0.7447657687099701,-0.7530769793008393,1.4134702280542333
8,-0.5308337490041313,-0.8901768909538766,1.3915656899460334,-0.7105053199790039,0.1796715709748726,1.3915656899460334,6,1.2858357265277194,-0.773768869389082,0.004667806322316989,1.4603658548068765,-0.769101063066765,-0.778436675711399,1.4603658548068765
9,-0.5308337490041313,-0.8901768909538766,1.3915656899460334,-0.7105053199790039,0.1796715709748726,1.3915656899460334,0,1.567360817788875,-0.7992188434088556,0.005238663927534345,1.5083985180690245,-0.7939801794813213,-0.80445750733639,1.5083985180690245
10,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,1,1.8700288068908228,-0.8252768174964952,0.005874237783154832,1.5575786137241592,-0.8194025797133403,-0.83115105527965,1.5575786137241592
11,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,0,2.183303480432923,-0.851948016869678,0.006581091788751518,1.6079159660039462,-0.8453669250809265,-0.8585291086584296,1.6079159660039462
12,-0.4013872798944018,-1.0103931847962726,1.3823121985412303,-0.7058902323453372,0.3045029524509354,1.3823121985412303,0,2.5020372580967924,-0.8792373727153314,0.007366301567920512,1.6594198256885258,-0.8718710711474109,-0.8866036742832519,1.6594198256885258
13,-0.3728586293158479,-1.126363919899286,1.4685180936153197,-0.7496112746075669,0.3767526452917191,1.4685180936153197,11,2.811910660816572,-0.9071495325028569,0.008237447449565418,1.7120988810920088,-0.8989120850532915,-0.9153869799524224,1.7120988810920088
14,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,11,3.1008579975532995,-0.9356888816413095,0.00920258618177343,1.765961286901631,-0.9264862954595361,-0.9448914678230829,1.765961286901631
15,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,0,3.408743072281881,-0.9648595807813916,0.010270192283265119,1.821014717650263,-0.9545893884981265,-0.9751297730646566,1.821014717650263
16,-0.2820838636040574,-1.5948006994229322,1.8409783717285144,-0.9384422815134948,0.6563584179094374,1.8409783717285144,0,3.716787468276282,-0.994665624453128,0.01144905694062398,1.8772664547905482,-0.983216567512504,-1.006114681393752,1.8772664547905482
17,-0.1186859186694671,-1.7188710406708785,1.8016064217642689,-0.9187784796701728,0.8000925610007057,1.8016064217642689,1,4.023425778995538,-1.0251109284810778,0.012748128584385024,1.9347235190957786,-1.0123627998966926,-1.0378590570654629,1.9347235190957786
18,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,4,4.294768352984663,-1.0561994557888519,0.014176274598728798,1.9933928635289395,-1.042023181190123,-1.0703757303875807,1.9933928635289395
19,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,4.575638798072978,-1.0879353928463973,0.015741937924206872,2.0532816458803036,-1.0721934549221903,-1.1036773307706043,2.0532816458803036
20,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,4.854874498807959,-1.120323392166886,0.017452655514351257,2.11439760543836,-1.1028707366525348,-1.1377760476812373,2.11439760543836
21,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,5.131599081341447,-1.1533688999420693,0.019314397668614685,2.1767495737552855,-1.1340545022734545,-1.172683297610684,2.1767495737552855
22,0.1439239952708053,-2.6978939026969466,2.484665860971101,-1.2769849537130706,1.420908948983876,2.484665860971101,0,5.404997057062569,-1.1870785920960982,0.021330678227303997,2.2403481561658154,-1.1657479138687943,-1.2084092703234022,2.2403481561658154
23,0.5746226971497687,-3.877154720369148,3.226325873370606,-1.6512660116096898,2.2258887087594585,3.226325873370606,6,5.67174987945555,-1.2214609466662996,0.023501375633059794,2.3052066280040706,-1.1979595710332398,-1.2449623222993593,2.3052066280040706
24,0.5746226971497687,-3.877154720369148,3.226325873370606,-1.6512660116096898,2.2258887087594585,3.226325873370606,0,5.913600281269452,-1.2565269853423358,0.02582119424466362,2.3713420972113752,-1.2307057910976722,-1.2823481795869993,2.3713420972113752
25,0.5746226971497687,-3.877154720369148,3.226325873370606,-1.6512660116096898,2.2258887087594585,3.226325873370606,0,6.151629095951924,-1.2922912219782747,0.028277684535564,2.438776992870229,-1.2640135374427108,-1.3205689065138386,2.438776992870229
26,0.2008600011852139,-3.7017985152483095,3.0178136141412213,-1.750469257031548,1.9513292582167616,3.0178136141412213,4,6.382397018884992,-1.3287728605889786,0.030848730665431826,2.5075409465894487,-1.2979241299235467,-1.3596215912544105,2.5075409465894487
27,0.2008600011852139,-3.7017985152483095,3.0178136141412213,-1.750469257031548,1.9513292582167616,3.0178136141412213,0,6.614173712803919,-1.365997289275218,0.033499405403910006,2.577673139850326,-1.332497883871308,-1.3994966946791279,2.577673139850326
28,-0.0194491587225764,-3.634936801475188,3.1712441950916426,-1.827192980098882,1.8077438213763055,3.1712441950916426,1,6.839179231366237,-1.4039979190677236,0.03617808684985635,2.649225194421019,-1.3678198322178674,-1.4401760059175799,2.649225194421019
29,-0.0194491587225764,-3.634936801475188,3.1712441950916426,-1.827192980098882,1.8077438213763055,3.1712441950916426,0,7.057511540490073,-1.4428184170634393,0.03881173049147246,2.722264683533828,-1.4040066865719667,-1.4816301475549118,2.722264683533828
30,-0.0194491587225764,-3.634936801475188,3.1712441950916426,-1.827192980098882,1.8077438213763055,3.1712441950916426,0,7.268405511261032,-1.482515380525643,0.04130019587100837,2.796879337243878,-1.4412151846546346,-1.5238155763966514,2.796879337243878
