point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_kspace_sparse,E_tb_2_kspace_sparse,E_tb_3_kspace_sparse
0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734,-20.328187720763907,-23.714851970149365,-36.70818772076392
1,-20.13638992630836,-23.75951852124885,-36.52515304964449,-20.109865293869838,-23.785614029296223,-36.524799995606095,-20.289971604801448,-23.73001720960935,-36.707559597857944
2,-20.10770377633411,-23.7877807440017,-36.52248994314877,-20.003232963875906,-23.890470279882436,-36.52114375129368,-20.17577718178754,-23.777652237642336,-36.70595937216162
3,-20.06078469744631,-23.83394916854013,-36.51809751988627,-19.833847818576874,-24.05674759702041,-36.515203834056294,-19.991984333625968,-23.85729732921122,-36.705880301894034
4,-19.99683434996827,-23.89675571124143,-36.51204516940717,-19.612691877941643,-24.273334776479164,-36.50711861050694,-19.749248723913745,-23.967151424210204,-36.710820732859744
5,-19.91730757035001,-23.97465202551091,-36.50443055136041,-19.350643046902462,-24.52921539347497,-36.497039438098376,-19.45972186444338,-24.10550715171967,-36.7245574477627
6,-19.82376246057797,-24.06595890021456,-36.49538010440797,-19.05679955024771,-24.815141038828216,-36.48513297641732,-19.135003878836716,-24.27134574395541,-36.75041970867022
7,-19.71773798180933,-24.16898801625031,-36.48504969185429,-18.738173354101693,-25.1239350090756,-36.47158405293847,-18.78509538366495,-24.464101239925004,-36.790733347725734
8,-19.60067000508874,-24.28212511676698,-36.47362537562707,-18.399991252412075,-25.450187666497552,-36.45659918889434,-18.41806523242558,-24.683078549203174,-36.846532297393516
9,-19.47384421640941,-24.40387620614245,-36.46132430624219,-18.04612819721495,-25.789818754833128,-36.44041092076086,-18.040100462641362,-24.926950883091465,-36.917544796644364
10,-19.33837780918531,-24.53288486244486,-36.44839571096467,-17.67948777444263,-26.139691597257432,-36.42328308907089,-17.65572110440922,-25.19353734623626,-37.002386740572085
11,-19.19522048704019,-24.6679301654519,-36.43512195519435,-17.30228947059304,-26.497319316328433,-36.405517309587,-17.26804833535286,-25.479875625044556,-37.09885768934119
12,-19.04516665462996,-24.80791339681873,-36.42181964277324,-16.916272794302635,-26.86065274637821,-36.387460892383565,-16.879076991080087,-25.782502135900653,-37.204240546227496
13,-18.88887292164209,-24.95183943340943,-36.40884070906576,-16.522838924092234,-27.227929045315594,-36.369516530675135,-16.48993296253669,-26.097819369082327,-37.31554235097505
14,-18.72687715883041,-25.09879665578881,-36.39657344596407,-16.12314840626412,-27.597562102565096,-36.3521541387681,-16.101106338370833,-26.42244230619037,-37.42966091592213
15,-18.55961695308148,-25.24793760349842,-36.38544338020837,-15.718188717587047,-27.968060500859124,-36.335925266870404,-15.712653029271147,-26.753449358538322,-37.54350055682642
16,-18.38744638870457,-25.39846154936997,-36.37591390558634,-15.308821308217027,-28.337962970820442,-36.32148053846922,-15.324358353961305,-27.088501514459317,-37.654077702244194
17,-18.2106507436151,-25.54959952716973,-36.36848654606034,-14.895814636963292,-28.70578443296603,-36.30959050363751,-14.935859366238905,-27.42582699371089,-37.75865155989026
18,-18.02945906073332,-25.70060200049411,-36.3637007015901,-14.479867573018108,-29.069968053399737,-36.30117010799204,-14.546728902234603,-27.764093979816135,-37.85489285264268
19,-17.84405474285759,-25.85072919823433,-36.36213270308811,-14.061626106522336,-29.428840625055603,-36.29730652318371,-14.156531366857365,-28.102210145201614,-37.94107620171569
20,-17.65458439853863,-25.99924408530898,-36.36439398029393,-13.641695360422423,-29.780570435620163,-36.29928918545794,-13.764865028808408,-28.43909491933824,-38.01626043763933
21,-17.4611651856525,-26.14540793421279,-36.3711281303362,-13.220648265563955,-30.123129017358835,-36.30863928524126,-13.37140524979613,-28.773469202177093,-38.080414029483606
22,-17.26389088798408,-26.28847847846729,-36.38300667059816,-12.799031840079936,-30.454261196221772,-36.327133349454414,-12.975956389015884,-29.10369804824478,-38.134452994155836
23,-17.06283693523548,-26.42771063990824,-36.40072327355416,-12.377371730762626,-30.77147191218781,-36.356811787043085,-12.57850829551101,-29.42770594357374,-38.180183638450835
24,-16.85806454778277,-26.56235981173653,-36.42498632034149,-11.956175481396276,-31.072043087058116,-36.3999586566817,-12.17928027351344,-29.742964856410076,-38.220174030419265
25,-16.6496241589743,-26.69168763739432,-36.45650968022979,-11.53593486054858,-31.3530978964569,-36.45903496754428,-11.778727302748113,-30.04653930608483,-38.25760182451683
26,-16.43755824195579,-26.81497014549873,-36.49600172878724,-11.117127489235612,-31.611729773899064,-36.53654794502242,-11.377486706408515,-30.33517171888668,-38.29612316369326
27,-16.22190364567596,-26.93150798301948,-36.54415275792175,-10.700217944165573,-31.845204240104337,-36.63484799266465,-10.976262543766458,-30.60541699227459,-38.33976176977223
28,-16.00269352591003,-27.04063833971281,-36.60162109896479,-10.285658466300154,-32.051219278625034,-36.755867499694155,-10.575677906810817,-30.853887405417616,-38.39273103959471
29,-15.77995894153854,-27.14174799209385,-36.6690184602987,-9.873889371481054,-32.22817788865639,-36.90084776665711,-10.17616116754852,-31.077718732407455,-38.459015172676615
30,-15.55373017351426,-27.23428673868553,-36.74689515037486,-9.465339235950028,-32.375400415174894,-37.070126376398434,-9.777950980023943,-31.27534992501321,-38.54153410828322
31,-15.32403781350006,-27.31778037927369,-36.83572598643094,-9.060424912084287,-32.493206493642646,-37.26305511798092,-9.381282452510447,-31.4475513447983,-38.64089620108057
32,-15.09091366065769,-27.39184233918393,-36.93589774943235,-8.659551416736987,-32.5828360752004,-37.47807895541301,-8.986738308074571,-31.59835284457791,-38.75410449378812
33,-14.85439145815567,-27.45618307828015,-37.04769901399094,-8.263111724936987,-32.646237074868,-37.71294846609513,-8.595627396782781,-31.73528808596412,-38.873938401701366
34,-14.61450749534194,-27.5106165627588,-37.17131304926249,-7.871486494462027,-32.68578879563043,-37.964996570775284,-8.210146939180822,-31.86843880771848,-38.98977019765636
35,-14.37130109695051,-27.5550633065994,-37.30681426261612,-7.4850437413175985,-32.704034702760275,-38.231405960817696,-7.833090810073799,-32.00820305385122,-39.09012694390412
36,-14.12481501697444,-27.5895497807123,-37.4541683704245,-7.104138481969993,-32.703472938421314,-38.50941881708026,-7.467065446355003,-32.16228672361878,-39.16652930108019
37,-13.87509575178277,-27.61420429982416,-37.61323617137947,-6.729112354968039,-32.68642034751626,-38.79647303699396,-7.113537439704633,-32.33282124957337,-39.21736607168809
38,-13.62219378455415,-27.62924978414507,-37.78378051324059,-6.360293232098811,-32.65494237885032,-39.090272595818504,-6.772341967154487,-32.51464674802199,-39.250114246922834
39,-13.36616377104104,-27.63499401533679,-37.96547582350653,-5.997994827285402,-32.61083116352568,-39.388809732144935,-6.442174388189691,-32.69567897560728,-39.28043680599865
40,-13.10706467498332,-27.63181813936104,-38.15791944313644,-5.642516309913839,-32.55561361567338,-39.690357106045205,-6.121867288750776,-32.8596776159158,-39.32801241883644
41,-12.84495986009137,-27.6201642059384,-38.36064396669406,-5.294141928076933,-32.49057532335784,-39.993444156740466,-5.811289399418456,-32.99036201711537,-39.41130024162106
42,-12.57991714436443,-27.60052248610381,-38.57312984168905,-4.953140646269827,-32.416790720932525,-40.29682716416927,-5.510509550633061,-33.07446334626561,-39.5450179469046
43,-12.31200882155566,-27.57341919795417,-38.7948175922331,-4.619765801309772,-32.335153939932816,-40.5994586137919,-5.2173124842070315,-33.10230389274637,-39.7417000279995
44,-12.04131165380709,-27.53940512329394,-39.02511918030697,-4.294254779640169,-32.24640744539226,-40.90045875477888,-4.925555755448853,-33.06854566838505,-40.01228434517097
45,-11.76790683882862,-27.49904544031784,-39.26342817615166,-3.9768287186821456,-32.15116724089935,-41.199090565796226,-4.627699372636608,-32.97793438235733,-40.35766938918494
46,-11.4918799544593,-27.45291095004486,-39.5091285572565,-3.667692234491828,-32.049944368334906,-41.494738400382154,-4.3219793152645405,-32.85507540281389,-40.75182719845765
