point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734
1,-20.13638992630836,-23.75951852124885,-36.52515304964449,-20.132893736747675,-23.76248995458991,-36.524895627434574
2,-20.10770377633411,-23.7877807440017,-36.52248994314877,-20.094982716501914,-23.798219434358483,-36.52164484419163
3,-20.06078469744631,-23.83394916854013,-36.51809751988627,-20.035016005790457,-23.854161655714545,-36.5166215881486
4,-19.99683434996827,-23.89675571124143,-36.51204516940717,-19.955915797497834,-23.927032581722628,-36.510196885707266
5,-19.91730757035001,-23.97465202551091,-36.50443055136041,-19.86050760580864,-24.01360466052577,-36.502785612141395
6,-19.82376246057797,-24.06595890021456,-36.49538010440797,-19.75131444358324,-24.110911279743124,-36.4948478421669
7,-19.71773798180933,-24.16898801625031,-36.48504969185429,-19.630460022000076,-24.216342346199816,-36.48689004791589
8,-19.60067000508874,-24.28212511676698,-36.47362537562707,-19.49965244558497,-24.327659633369045,-36.47946602884994
9,-19.47384421640941,-24.40387620614245,-36.46132430624219,-19.360215370752954,-24.442965066695294,-36.473177435360654
10,-19.33837780918531,-24.53288486244486,-36.44839571096467,-19.213140842264494,-24.56064789584585,-36.46867372266059
11,-19.19522048704019,-24.6679301654519,-36.43512195519435,-19.059147580335228,-24.679327170423758,-36.46665134574945
12,-19.04516665462996,-24.80791339681873,-36.42181964277324,-18.898736135646587,-24.79779831499677,-36.46785198242108
13,-18.88887292164209,-24.95183943340943,-36.40884070906576,-18.732237246340418,-24.914987700443806,-36.47305955329877
14,-18.72687715883041,-25.09879665578881,-36.39657344596407,-18.559852463064864,-25.029916383651585,-36.48309580088086
15,-18.55961695308148,-25.24793760349842,-36.38544338020837,-18.381687430508084,-25.141672854995097,-36.498814199813395
16,-18.38744638870457,-25.39846154936997,-36.37591390558634,-18.197778738048093,-25.249394074439113,-36.5210920050195
17,-18.2106507436151,-25.54959952716973,-36.36848654606034,-18.008115370068644,-25.352253893972275,-36.55082030952593
18,-18.02945906073332,-25.70060200049411,-36.3637007015901,-17.812655721471604,-25.449457928318232,-36.58889208462003
19,-17.84405474285759,-25.85072919823433,-36.36213270308811,-17.611341012474035,-25.54024392998898,-36.63618831229863
20,-17.65458439853863,-25.99924408530898,-36.36439398029393,-17.404105794542048,-25.62388669814273,-36.69356248881576
21,-17.4611651856525,-26.14540793421279,-36.3711281303362,-17.190886109695573,-25.699706492657196,-36.76182396581129
22,-17.26389088798408,-26.28847847846729,-36.38300667059816,-16.97162575593097,-25.767079848616678,-36.8417207812085
23,-17.06283693523548,-26.42771063990824,-36.40072327355416,-16.746281022464753,-25.825451619017404,-36.933922788511346
24,-16.85806454778277,-26.56235981173653,-36.42498632034149,-16.51482418740616,-25.874347047126115,-37.0390059906038
25,-16.6496241589743,-26.69168763739432,-36.45650968022979,-16.277246014093596,-25.913382713722,-37.15743899673416
26,-16.43755824195579,-26.81497014549873,-36.49600172878724,-16.033557437627916,-25.942275336639103,-37.289572433890115
27,-16.22190364567596,-26.93150798301948,-36.54415275792175,-15.783790597527181,-25.960847621990045,-37.43563195741729
28,-16.00269352591003,-27.04063833971281,-36.60162109896479,-15.527999343875553,-25.969030660609846,-37.59571524013394
29,-15.77995894153854,-27.14174799209385,-36.6690184602987,-15.2662593212764,-25.966862695865,-37.76979300965316
30,-15.55373017351426,-27.23428673868553,-36.74689515037486,-14.998667716166867,-25.954484417397282,-37.95771389395923
31,-15.32403781350006,-27.31778037927369,-36.83572598643094,-14.72534273771874,-25.93213121779902,-38.15921256819009
32,-15.09091366065769,-27.39184233918393,-36.93589774943235,-14.446422889969895,-25.90012305377453,-38.37392050360595
33,-14.85439145815567,-27.45618307828015,-37.04769901399094,-14.162066082488908,-25.858852663945367,-38.601378519465825
34,-14.61450749534194,-27.5106165627588,-37.17131304926249,-13.872448618371749,-25.80877291307615,-38.84105032941983
35,-14.37130109695051,-27.5550633065994,-37.30681426261612,-13.577764091385431,-25.750383972165313,-39.09233634134478
36,-14.12481501697444,-27.5895497807123,-37.4541683704245,-13.278222218350466,-25.684220929050007,-39.35458709007108
37,-13.87509575178277,-27.61420429982416,-37.61323617137947,-12.974047628174722,-25.610842280719137,-39.6271158305844
38,-13.62219378455415,-27.62924978414507,-37.78378051324059,-12.665478625134808,-25.530819609516357,-39.90920997211648
39,-13.36616377104104,-27.63499401533679,-37.96547582350653,-12.35276594089671,-25.444728608226683,-40.200141173832634
40,-13.10706467498332,-27.63181813936104,-38.15791944313644,-12.036171487240367,-25.353141504377717,-40.499174040014324
41,-12.84495986009137,-27.6201642059384,-38.36064396669406,-11.715967119398275,-25.2566208465308,-40.80557344224616
42,-12.57991714436443,-27.60052248610381,-38.57312984168905,-11.392433418239277,-25.155714554799886,-41.118610558332435
43,-12.31200882155566,-27.57341919795417,-38.7948175922331,-11.065858498151798,-25.05095210122967,-41.43756775565302
44,-12.04131165380709,-27.53940512329394,-39.02511918030697,-10.736536846341071,-24.942841668411454,-41.761742465058774
45,-11.76790683882862,-27.49904544031784,-39.26342817615166,-10.404768198301792,-24.831868131890037,-42.0904501951859
46,-11.4918799544593,-27.45291095004486,-39.5091285572565,-10.070856453420676,-24.718491718958745,-42.42302683082942
47,-11.21332088301143,-27.40157074998832,-39.76160208008599,-9.73510863396999,-24.603147209548716,-42.758830346600625
48,-10.93232371743852,-27.34558631353488,-40.02023426405642,-9.397833890148874,-24.486243561143947,-43.0972420514677
49,-10.64898665107846,-27.28550686816483,-40.28441909290642,-9.059342553296545,-24.36816385689103,-43.43766746307602
50,-10.36341185248792,-27.22186592676591,-40.55356257771921,-8.719945238924076,-24.249265492901138,-43.77953689438682
51,-10.07570532669654,-27.15517880879373,-40.82708534354175,-8.379952000782406,-24.12988053631641,-44.122305820028416
52,-9.785976764061292,-27.08594098633862,-41.10442440338716,-8.039671536793415,-24.010316199580394,-44.465455076272015
53,-9.49433937778497,-27.01462709910441,-41.38503427457849,-7.699410447315954,-23.890855388353064,-44.808490936896504
54,-9.200909731073164,-26.94169049757965,-41.66838757720501,-7.359472545893209,-23.771757290662954,-45.15094509737584
55,-8.905807554835395,-26.86756319200221,-41.95397523621232,-7.020158222332839,-23.65325798331956,-45.49237459168414
56,-8.609155556785039,-26.79265610375182,-42.24130638966322,-6.681763857700715,-23.53557103850096,-45.83236165938672
57,-8.311079222753989,-26.71735953404764,-42.52990808750331,-6.344581290566319,-23.418888118990242,-46.170513575367906
58,-8.011706611010347,-26.64204378140158,-42.81932484861941,-6.0088973336171785,-23.303379554956848,-46.50646245033633
59,-7.711168140346263,-26.56705985376427,-43.1091181295134,-5.674993339563785,-23.189194898659217,-46.83986500696342
60,-7.40959637268736,-26.49274023359382,-43.39886574563616,-5.343144815081416,-23.076463456143117,-47.17040233397886
61,-7.107125790962131,-26.41939966426112,-43.68816127625627,-5.0136210813829845,-22.96529479707542,-47.497779618632094
62,-6.803892572958921,-26.34733593447213,-43.97661347548166,-4.686684979882572,-22.855779245402942,-47.821725856504884
63,-6.500034361886447,-26.2768306439812,-44.26384570546995,-4.362592621296109,-22.74798835466233,-48.141993536633294
64,-6.195690034342666,-26.20814993904179,-44.54949540270257,-4.04159317642882,-22.64197537257162,-48.45835829918268
65,-5.890999466383378,-26.14154521003709,-44.83321358421462,-3.7239287068194034,-22.53777570007117,-48.77061856245626
66,-5.586103298366355,-26.07725374676922,-45.11466439765027,-3.4098340333468156,-22.435407350303276,-49.07859511575366
67,-5.281142699230543,-26.01549934915628,-45.39352471676128,-3.0995366408556877,-22.33487141316808,-49.382130674491165
68,-4.976259130849042,-25.95649289275013,-45.66948378232094,-2.7932566168202078,-22.236152531096526,-49.68108939402192
69,-4.671594113073073,-25.90043284967939,-45.94224288725702,-2.4912066220416973,-22.13921939156651,-49.97535633872651
70,-4.367288990059417,-25.8475057664498,-46.21151510400173,-2.193591891362252,-22.044025241670976,-50.26483690316822
71,-4.063484698447771,-25.79788670058681,-46.47702505153291,-1.9006102623737897,-21.95050842974186,-50.549456182407205
72,-3.760321537925722,-25.75173961844861,-46.73850869926255,-1.6124522301081712,-21.858592978651302,-50.82915828893843
73,-3.457938944689603,-25.70921775672986,-46.9957132047673,-1.3293010257076079,-21.76818919495695,-51.103905614149795
74,-3.156475268278868,-25.6704639502565,-47.2483967823058,-1.0513327170973967,-21.679194317540134,-51.37367803268729
75,-2.856067552229545,-25.63561092867321,-47.49632859909737,-0.7787163297097617,-21.591493208806497,-51.638472048657164
76,-2.556851318960716,-25.60478158457167,-47.73928869642123,-0.5116139853415653,-21.504959090882206,-51.898299883190916
77,-2.258960359276206,-25.57808921551916,-47.97706793271624,-0.2501810572664533,-21.41945432855171,-52.153188503540946
78,-1.962526526831602,-25.55563774233443,-48.20946794600395,0.005433660236330377,-21.334831259946128,-52.40317859456155
79,-1.66767953788604,-25.53752190583454,-48.43630113311207,0.2550877697292928,-21.250933075212963,-52.64832347415754
80,-1.374546776628541,-25.52382744414682,-48.6573906433337,0.49864507758669485,-21.16759474258107,-52.888687955042506
81,-1.083253106339191,-25.51463125255074,-48.87257038431645,0.735975391784456,-21.084643980391693,-53.12434715593986
82,-0.7939206866189217,-25.51000152768911,-49.08168503812585,0.9669543121594727,-21.001902272799057,-53.35538526616594
83,-0.5066687968955925,-25.50999789786786,-49.28459008557431,1.191463014738186,-20.919185925970716,-53.58189426835584
84,-0.221613666390418,-25.51467154105131,-49.48115183704157,1.4093880316858096,-20.836307160743882,-53.803972624907985
85,0.06113168929341484,-25.52406529205513,-49.67124746813847,1.620621028381915,-20.753075236836615,-54.021723934527
86,0.3414576248175685,-25.53821374034383,-49.85476505868151,1.825058579081861,-20.669297602885308,-54.235255566021024
87,0.6192580148664852,-25.55714331975209,-50.03160363354879,2.0226019425818342,-20.58478106579873,-54.44467727723922
88,0.8944303969082288,-25.58087239137102,-50.20167320408271,2.2131568392653715,-20.49933297219921,-54.65009982770924
89,1.166876106862753,-25.60941132076996,-50.3648948087875,2.3966332308734426,-20.41276239408156,-54.85163359413074
90,1.436500407594815,-25.64276255066269,-50.52120055214154,2.572945104306739,-20.324881310276467,-55.04938719838496
91,1.703212610157086,-25.68092067007249,-50.67053364041007,2.7420102607414103,-20.23550577487137,-55.24346615811989
92,1.966926187717595,-25.72387248100345,-50.81284841339416,2.903750111313668,-20.144457063435127,-55.433971570244196
93,2.227558882110408,-25.77159706358603,-50.94811037109985,3.05808948060985,-20.05156278772491,-55.6209988378061
94,2.48503280295257,-25.8240658406314,-51.07629619434429,3.2049564191816993,-19.956657969533172,-55.80463645073036
95,2.739274519272601,-25.88124264250381,-51.19739375834543,3.3442820262956583,-19.859586064469685,-55.984964830732565
96,2.990215143595284,-25.94308377319897,-51.31140213836026,3.476000284117903,-19.760199926768824,-56.162055250421105
97,3.237790408427649,-26.00953807850397,-51.41833160644851,3.600047904533332,-19.658362706668164,-56.33596883613271
98,3.481940735086958,-26.08054701710596,-51.51820361844305,3.716364189798672,-19.553948672514643,-56.50675566343192
99,3.722611294809102,-26.156044735515,-51.61105079020526,3.8248909082333977,-19.446843950513653,-56.67445395344711
100,3.95975206206951,-26.23595814767144,-51.69691686223396,3.9255721861621526,-19.336947175929204,-56.83908937732252
