K_B_choice,M_choice,K_T_choice,rmse_meV,delta_KB_1,delta_KB_2,delta_KB_3,delta_M_1,delta_M_2,delta_M_3,delta_KT_1,delta_KT_2,delta_KT_3
K1,M1,K6,13.014380778143309,-12.644509294594847,21.241620347544746,-8.391088306954828,-7.348533953892682,-1.0910685311936206,8.439602485086183,-15.533166942951764,21.126493480403603,-5.370314339815231
K6,M1,K1,13.015636119092044,-15.623901381208915,21.241618988112208,-5.41169486090822,-7.348533953892682,-1.0910685311936206,8.439602485086183,-12.553774856337697,21.12649483983614,-8.349707785861838
K2,M1,K1,13.019894065769314,-5.363042559760095,21.241606791679736,-15.672547635164278,-7.348533953892682,-1.0910685311936206,8.439602485086183,-12.553774856337697,21.12649483983614,-8.349707785861838
K1,M1,K2,13.022960556481499,-12.644509294594847,21.241620347544746,-8.391088306954828,-7.348533953892682,-1.0910685311936206,8.439602485086183,-5.272308121502944,21.12648128397113,-15.631167114071289
K3,M1,K1,13.103795761886241,-4.48172270140311,21.241622773280497,-16.55387732588231,-7.348533953892682,-1.0910685311936206,8.439602485086183,-12.553774856337697,21.12649483983614,-8.349707785861838
K1,M1,K3,13.107211333844111,-12.644509294594847,21.241620347544746,-8.391088306954828,-7.348533953892682,-1.0910685311936206,8.439602485086183,-4.390988263145959,21.126497265571892,-16.512496804789322
K1,M2,K6,13.138060656574012,-12.644509294594847,21.241620347544746,-8.391088306954828,-8.22286789553474,-1.0898021683991743,9.312670063933922,-15.533166942951764,21.126493480403603,-5.370314339815231
K6,M2,K1,13.139304181041144,-15.623901381208915,21.241618988112208,-5.41169486090822,-8.22286789553474,-1.0898021683991743,9.312670063933922,-12.553774856337697,21.12649483983614,-8.349707785861838
K2,M2,K1,13.143522064544454,-5.363042559760095,21.241606791679736,-15.672547635164278,-8.22286789553474,-1.0898021683991743,9.312670063933922,-12.553774856337697,21.12649483983614,-8.349707785861838
K1,M2,K2,13.146559718534153,-12.644509294594847,21.241620347544746,-8.391088306954828,-8.22286789553474,-1.0898021683991743,9.312670063933922,-5.272308121502944,21.12648128397113,-15.631167114071289
K1,M1,K4,13.166595505372213,-12.644509294594847,21.241620347544746,-8.391088306954828,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M1,K1,13.168474847132464,-17.157148126205364,21.24162217201002,-3.8784512998095906,-7.348533953892682,-1.0910685311936206,8.439602485086183,-12.553774856337697,21.12649483983614,-8.349707785861838
K2,M1,K6,13.20127680713643,-5.363042559760095,21.241606791679736,-15.672547635164278,-7.348533953892682,-1.0910685311936206,8.439602485086183,-15.533166942951764,21.126493480403603,-5.370314339815231
K6,M1,K2,13.205538461439708,-15.623901381208915,21.241618988112208,-5.41169486090822,-7.348533953892682,-1.0910685311936206,8.439602485086183,-5.272308121502944,21.12648128397113,-15.631167114071289
K3,M2,K1,13.226639563643507,-4.48172270140311,21.241622773280497,-16.55387732588231,-8.22286789553474,-1.0898021683991743,9.312670063933922,-12.553774856337697,21.12649483983614,-8.349707785861838
K1,M2,K3,13.230023421270403,-12.644509294594847,21.241620347544746,-8.391088306954828,-8.22286789553474,-1.0898021683991743,9.312670063933922,-4.390988263145959,21.126497265571892,-16.512496804789322
K1,M1,K5,13.255630190027075,-12.644509294594847,21.241620347544746,-8.391088306954828,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M1,K1,13.2578099837372,-17.91406578141446,21.241612212134285,-3.1215298339644377,-7.348533953892682,-1.0910685311936206,8.439602485086183,-12.553774856337697,21.12649483983614,-8.349707785861838
