model,valley,barrier_Z,btk_eta_meV,alpha_eta_mix,observable,pairing_count,pearson_r,spearman_rho
baseline,K_B,0.0,0.05,0.0,zero_bias_conductance,4,-0.9338876214763846,-0.7745966692414834
baseline,K_B,0.0,0.05,0.0,peak_minus_background,4,-0.9613262625940435,-0.7745966692414834
baseline,K_B,0.0,0.05,0.0,zero_bias_andreev,4,-0.9338876214763875,-0.7745966692414834
baseline,K_B,0.0,0.05,0.25,zero_bias_conductance,4,-0.904031495175414,-0.9486832980505139
baseline,K_B,0.0,0.05,0.25,peak_minus_background,4,-0.9052124142332033,-0.9486832980505139
baseline,K_B,0.0,0.05,0.25,zero_bias_andreev,4,-0.9040314951754068,-0.9486832980505139
baseline,K_B,0.0,0.05,0.5,zero_bias_conductance,4,-0.684607782237488,-0.7378647873726218
baseline,K_B,0.0,0.05,0.5,peak_minus_background,4,-0.6631161263882961,-0.7378647873726218
baseline,K_B,0.0,0.05,0.5,zero_bias_andreev,4,-0.6846077822374739,-0.7378647873726218
baseline,K_B,0.0,0.05,0.75,zero_bias_conductance,4,-0.4799225351817024,-0.7378647873726218
baseline,K_B,0.0,0.05,0.75,peak_minus_background,4,-0.44634682923212415,-0.7378647873726218
baseline,K_B,0.0,0.05,0.75,zero_bias_andreev,4,-0.47992253518168526,-0.7378647873726218
baseline,K_B,0.0,0.05,1.0,zero_bias_conductance,4,-0.34098923767575123,-0.7378647873726218
baseline,K_B,0.0,0.05,1.0,peak_minus_background,4,-0.30138888523323054,-0.7378647873726218
baseline,K_B,0.0,0.05,1.0,zero_bias_andreev,4,-0.3409892376757329,-0.7378647873726218
baseline,K_B,0.0,0.2,0.0,zero_bias_conductance,4,-0.9270951684932238,-0.7745966692414834
baseline,K_B,0.0,0.2,0.0,peak_minus_background,4,-0.9341183647174699,-0.7745966692414834
baseline,K_B,0.0,0.2,0.0,zero_bias_andreev,4,-0.9270951684932242,-0.7745966692414834
baseline,K_B,0.0,0.2,0.25,zero_bias_conductance,4,-0.9064509727674045,-0.9486832980505139
baseline,K_B,0.0,0.2,0.25,peak_minus_background,4,-0.9076522414468994,-0.9486832980505139
baseline,K_B,0.0,0.2,0.25,zero_bias_andreev,4,-0.9064509727674049,-0.9486832980505139
baseline,K_B,0.0,0.2,0.5,zero_bias_conductance,4,-0.6943735228462155,-0.7378647873726218
baseline,K_B,0.0,0.2,0.5,peak_minus_background,4,-0.6903462454779277,-0.7378647873726218
baseline,K_B,0.0,0.2,0.5,zero_bias_andreev,4,-0.694373522846216,-0.7378647873726218
baseline,K_B,0.0,0.2,0.75,zero_bias_conductance,4,-0.49332826574964894,-0.7378647873726218
baseline,K_B,0.0,0.2,0.75,peak_minus_background,4,-0.48642296515804556,-0.7378647873726218
baseline,K_B,0.0,0.2,0.75,zero_bias_andreev,4,-0.49332826574964916,-0.7378647873726218
baseline,K_B,0.0,0.2,1.0,zero_bias_conductance,4,-0.356093936603458,-0.7378647873726218
baseline,K_B,0.0,0.2,1.0,peak_minus_background,4,-0.3477153769684103,-0.7378647873726218
baseline,K_B,0.0,0.2,1.0,zero_bias_andreev,4,-0.3560939366034584,-0.7378647873726218
baseline,K_B,0.0,0.5,0.0,zero_bias_conductance,4,-0.8887766153010961,-0.7745966692414834
baseline,K_B,0.0,0.5,0.0,peak_minus_background,4,-0.8929944883002858,-0.7745966692414834
baseline,K_B,0.0,0.5,0.0,zero_bias_andreev,4,-0.8887766153010964,-0.7745966692414834
baseline,K_B,0.0,0.5,0.25,zero_bias_conductance,4,-0.8933288198258853,-0.9486832980505139
baseline,K_B,0.0,0.5,0.25,peak_minus_background,4,-0.8947070565385566,-0.9486832980505139
baseline,K_B,0.0,0.5,0.25,zero_bias_andreev,4,-0.893328819825885,-0.9486832980505139
baseline,K_B,0.0,0.5,0.5,zero_bias_conductance,4,-0.7055793957041858,-0.7378647873726218
baseline,K_B,0.0,0.5,0.5,peak_minus_background,4,-0.7042374492689347,-0.7378647873726218
baseline,K_B,0.0,0.5,0.5,zero_bias_andreev,4,-0.7055793957041855,-0.7378647873726218
baseline,K_B,0.0,0.5,0.75,zero_bias_conductance,4,-0.5186657768232654,-0.7378647873726218
baseline,K_B,0.0,0.5,0.75,peak_minus_background,4,-0.5157524800535558,-0.7378647873726218
baseline,K_B,0.0,0.5,0.75,zero_bias_andreev,4,-0.5186657768232648,-0.7378647873726218
baseline,K_B,0.0,0.5,1.0,zero_bias_conductance,4,-0.3889668283041551,-0.7378647873726218
baseline,K_B,0.0,0.5,1.0,peak_minus_background,4,-0.3852190180464174,-0.7378647873726218
baseline,K_B,0.0,0.5,1.0,zero_bias_andreev,4,-0.3889668283041542,-0.7378647873726218
baseline,K_B,0.5,0.05,0.0,zero_bias_conductance,4,-0.9338876214763856,-0.7745966692414834
baseline,K_B,0.5,0.05,0.0,peak_minus_background,4,-0.9673120683963872,-0.7745966692414834
baseline,K_B,0.5,0.05,0.0,zero_bias_andreev,4,-0.9338876214763866,-0.7745966692414834
baseline,K_B,0.5,0.05,0.25,zero_bias_conductance,4,-0.9040314951754148,-0.9486832980505139
baseline,K_B,0.5,0.05,0.25,peak_minus_background,4,-0.9044015360906876,-0.9486832980505139
baseline,K_B,0.5,0.05,0.25,zero_bias_andreev,4,-0.9040314951754133,-0.9486832980505139
baseline,K_B,0.5,0.05,0.5,zero_bias_conductance,4,-0.684607782237489,-0.7378647873726218
baseline,K_B,0.5,0.05,0.5,peak_minus_background,4,-0.6566760843460009,-0.7378647873726218
baseline,K_B,0.5,0.05,0.5,zero_bias_andreev,4,-0.6846077822374851,-0.7378647873726218
baseline,K_B,0.5,0.05,0.75,zero_bias_conductance,4,-0.4799225351817033,-0.7378647873726218
baseline,K_B,0.5,0.05,0.75,peak_minus_background,4,-0.43701507327125716,-0.7378647873726218
baseline,K_B,0.5,0.05,0.75,zero_bias_andreev,4,-0.4799225351816986,-0.7378647873726218
baseline,K_B,0.5,0.05,1.0,zero_bias_conductance,4,-0.34098923767575207,-0.7378647873726218
baseline,K_B,0.5,0.05,1.0,peak_minus_background,4,-0.2906610548283449,-0.7378647873726218
baseline,K_B,0.5,0.05,1.0,zero_bias_andreev,4,-0.34098923767574685,-0.7378647873726218
baseline,K_B,0.5,0.2,0.0,zero_bias_conductance,4,-0.927095168493225,-0.7745966692414834
baseline,K_B,0.5,0.2,0.0,peak_minus_background,4,-0.9358376034327037,-0.7745966692414834
baseline,K_B,0.5,0.2,0.0,zero_bias_andreev,4,-0.9270951684932244,-0.7745966692414834
baseline,K_B,0.5,0.2,0.25,zero_bias_conductance,4,-0.9064509727674052,-0.9486832980505139
baseline,K_B,0.5,0.2,0.25,peak_minus_background,4,-0.9079026825751816,-0.9486832980505139
baseline,K_B,0.5,0.2,0.25,zero_bias_andreev,4,-0.9064509727674044,-0.9486832980505139
baseline,K_B,0.5,0.2,0.5,zero_bias_conductance,4,-0.6943735228462153,-0.7378647873726218
baseline,K_B,0.5,0.2,0.5,peak_minus_background,4,-0.6892888803126311,-0.7378647873726218
baseline,K_B,0.5,0.2,0.5,zero_bias_andreev,4,-0.6943735228462146,-0.7378647873726218
baseline,K_B,0.5,0.2,0.75,zero_bias_conductance,4,-0.4933282657496483,-0.7378647873726218
baseline,K_B,0.5,0.2,0.75,peak_minus_background,4,-0.4846506431009582,-0.7378647873726218
baseline,K_B,0.5,0.2,0.75,zero_bias_andreev,4,-0.49332826574964783,-0.7378647873726218
baseline,K_B,0.5,0.2,1.0,zero_bias_conductance,4,-0.35609393660345723,-0.7378647873726218
baseline,K_B,0.5,0.2,1.0,peak_minus_background,4,-0.34557907053596015,-0.7378647873726218
baseline,K_B,0.5,0.2,1.0,zero_bias_andreev,4,-0.35609393660345684,-0.7378647873726218
baseline,K_B,0.5,0.5,0.0,zero_bias_conductance,4,-0.8887766153010963,-0.7745966692414834
baseline,K_B,0.5,0.5,0.0,peak_minus_background,4,-0.8940346992064296,-0.7745966692414834
baseline,K_B,0.5,0.5,0.0,zero_bias_andreev,4,-0.888776615301096,-0.7745966692414834
baseline,K_B,0.5,0.5,0.25,zero_bias_conductance,4,-0.8933288198258845,-0.9486832980505139
baseline,K_B,0.5,0.5,0.25,peak_minus_background,4,-0.8950388082763153,-0.9486832980505139
baseline,K_B,0.5,0.5,0.25,zero_bias_andreev,4,-0.8933288198258847,-0.9486832980505139
baseline,K_B,0.5,0.5,0.5,zero_bias_conductance,4,-0.7055793957041847,-0.7378647873726218
baseline,K_B,0.5,0.5,0.5,peak_minus_background,4,-0.7038931406109186,-0.7378647873726218
baseline,K_B,0.5,0.5,0.5,zero_bias_andreev,4,-0.7055793957041853,-0.7378647873726218
baseline,K_B,0.5,0.5,0.75,zero_bias_conductance,4,-0.518665776823264,-0.7378647873726218
baseline,K_B,0.5,0.5,0.75,peak_minus_background,4,-0.5150186964273153,-0.7378647873726218
baseline,K_B,0.5,0.5,0.75,zero_bias_andreev,4,-0.5186657768232648,-0.7378647873726218
baseline,K_B,0.5,0.5,1.0,zero_bias_conductance,4,-0.3889668283041534,-0.7378647873726218
baseline,K_B,0.5,0.5,1.0,peak_minus_background,4,-0.3842788031841916,-0.7378647873726218
baseline,K_B,0.5,0.5,1.0,zero_bias_andreev,4,-0.3889668283041542,-0.7378647873726218
baseline,K_B,1.0,0.05,0.0,zero_bias_conductance,4,-0.9338876214763902,-0.7745966692414834
baseline,K_B,1.0,0.05,0.0,peak_minus_background,4,-0.9826801079586582,-0.7745966692414834
baseline,K_B,1.0,0.05,0.0,zero_bias_andreev,4,-0.9338876214763875,-0.7745966692414834
baseline,K_B,1.0,0.05,0.25,zero_bias_conductance,4,-0.9040314951754119,-0.9486832980505139
baseline,K_B,1.0,0.05,0.25,peak_minus_background,4,-0.8989642963096665,-0.9486832980505139
baseline,K_B,1.0,0.05,0.25,zero_bias_andreev,4,-0.9040314951754068,-0.9486832980505139
baseline,K_B,1.0,0.05,0.5,zero_bias_conductance,4,-0.6846077822374802,-0.7378647873726218
baseline,K_B,1.0,0.05,0.5,peak_minus_background,4,-0.6346413707384071,-0.7378647873726218
baseline,K_B,1.0,0.05,0.5,zero_bias_andreev,4,-0.6846077822374739,-0.7378647873726218
baseline,K_B,1.0,0.05,0.75,zero_bias_conductance,4,-0.4799225351816916,-0.7378647873726218
baseline,K_B,1.0,0.05,0.75,peak_minus_background,4,-0.406753638786156,-0.7378647873726218
baseline,K_B,1.0,0.05,0.75,zero_bias_andreev,4,-0.47992253518168526,-0.7378647873726218
baseline,K_B,1.0,0.05,1.0,zero_bias_conductance,4,-0.34098923767573913,-0.7378647873726218
baseline,K_B,1.0,0.05,1.0,peak_minus_background,4,-0.2565584977190892,-0.7378647873726218
baseline,K_B,1.0,0.05,1.0,zero_bias_andreev,4,-0.3409892376757329,-0.7378647873726218
baseline,K_B,1.0,0.2,0.0,zero_bias_conductance,4,-0.9270951684932244,-0.7745966692414834
baseline,K_B,1.0,0.2,0.0,peak_minus_background,4,-0.9409081155128532,-0.7745966692414834
baseline,K_B,1.0,0.2,0.0,zero_bias_andreev,4,-0.9270951684932247,-0.7745966692414834
baseline,K_B,1.0,0.2,0.25,zero_bias_conductance,4,-0.9064509727674032,-0.9486832980505139
baseline,K_B,1.0,0.2,0.25,peak_minus_background,4,-0.9085307195350459,-0.9486832980505139
baseline,K_B,1.0,0.2,0.25,zero_bias_andreev,4,-0.9064509727674056,-0.9486832980505139
baseline,K_B,1.0,0.2,0.5,zero_bias_conductance,4,-0.694373522846213,-0.7378647873726218
baseline,K_B,1.0,0.2,0.5,peak_minus_background,4,-0.6859891380236439,-0.7378647873726218
baseline,K_B,1.0,0.2,0.5,zero_bias_andreev,4,-0.6943735228462165,-0.7378647873726218
baseline,K_B,1.0,0.2,0.75,zero_bias_conductance,4,-0.4933282657496459,-0.7378647873726218
baseline,K_B,1.0,0.2,0.75,peak_minus_background,4,-0.4792158466598982,-0.7378647873726218
baseline,K_B,1.0,0.2,0.75,zero_bias_andreev,4,-0.4933282657496496,-0.7378647873726218
baseline,K_B,1.0,0.2,1.0,zero_bias_conductance,4,-0.35609393660345473,-0.7378647873726218
baseline,K_B,1.0,0.2,1.0,peak_minus_background,4,-0.3390623190658096,-0.7378647873726218
baseline,K_B,1.0,0.2,1.0,zero_bias_andreev,4,-0.3560939366034587,-0.7378647873726218
baseline,K_B,1.0,0.5,0.0,zero_bias_conductance,4,-0.8887766153010964,-0.7745966692414834
baseline,K_B,1.0,0.5,0.0,peak_minus_background,4,-0.8971436976528315,-0.7745966692414834
baseline,K_B,1.0,0.5,0.0,zero_bias_andreev,4,-0.8887766153010966,-0.7745966692414834
baseline,K_B,1.0,0.5,0.25,zero_bias_conductance,4,-0.8933288198258849,-0.9486832980505139
baseline,K_B,1.0,0.5,0.25,peak_minus_background,4,-0.8960105219204056,-0.9486832980505139
baseline,K_B,1.0,0.5,0.25,zero_bias_andreev,4,-0.8933288198258851,-0.9486832980505139
baseline,K_B,1.0,0.5,0.5,zero_bias_conductance,4,-0.7055793957041849,-0.7378647873726218
baseline,K_B,1.0,0.5,0.5,peak_minus_background,4,-0.7028315565531844,-0.7378647873726218
baseline,K_B,1.0,0.5,0.5,zero_bias_andreev,4,-0.7055793957041853,-0.7378647873726218
baseline,K_B,1.0,0.5,0.75,zero_bias_conductance,4,-0.5186657768232642,-0.7378647873726218
baseline,K_B,1.0,0.5,0.75,peak_minus_background,4,-0.5127883006265919,-0.7378647873726218
baseline,K_B,1.0,0.5,0.75,zero_bias_andreev,4,-0.5186657768232646,-0.7378647873726218
