barrier_Z,btk_eta_meV,alpha_eta_mix,observable,pairing_count,pearson_r,spearman_rho
0.0,0.05,0.0,abs_kb_minus_kt_peak_contrast,4,-0.9768821945253747,-0.7745966692414834
0.0,0.05,0.25,abs_kb_minus_kt_peak_contrast,4,-0.8971063513444543,-0.632455532033676
0.0,0.05,0.5,abs_kb_minus_kt_peak_contrast,4,-0.6365459960056364,-0.21081851067789195
0.0,0.05,0.75,abs_kb_minus_kt_peak_contrast,4,-0.4108270021144833,-0.21081851067789195
0.0,0.05,1.0,abs_kb_minus_kt_peak_contrast,4,-0.2617817886930473,-0.21081851067789195
0.0,0.2,0.0,abs_kb_minus_kt_peak_contrast,4,-0.9308076935252009,-0.7745966692414834
0.0,0.2,0.25,abs_kb_minus_kt_peak_contrast,4,-0.895500549845199,-0.632455532033676
0.0,0.2,0.5,abs_kb_minus_kt_peak_contrast,4,-0.6732527262083827,-0.21081851067789195
0.0,0.2,0.75,abs_kb_minus_kt_peak_contrast,4,-0.46791527273237743,-0.21081851067789195
0.0,0.2,1.0,abs_kb_minus_kt_peak_contrast,4,-0.32901541289122915,-0.21081851067789195
0.0,0.5,0.0,abs_kb_minus_kt_peak_contrast,4,-0.8068574952559402,-0.7745966692414834
0.0,0.5,0.25,abs_kb_minus_kt_peak_contrast,4,-0.8452422984532144,-0.632455532033676
0.0,0.5,0.5,abs_kb_minus_kt_peak_contrast,4,-0.6966951462205271,-0.21081851067789195
0.0,0.5,0.75,abs_kb_minus_kt_peak_contrast,4,-0.5352014565882373,-0.21081851067789195
0.0,0.5,1.0,abs_kb_minus_kt_peak_contrast,4,-0.4200786190267285,-0.21081851067789195
0.5,0.05,0.0,abs_kb_minus_kt_peak_contrast,4,-0.9768730158464262,-0.7745966692414834
0.5,0.05,0.25,abs_kb_minus_kt_peak_contrast,4,-0.8971263562716566,-0.632455532033676
0.5,0.05,0.5,abs_kb_minus_kt_peak_contrast,4,-0.6365866269020096,-0.21081851067789195
0.5,0.05,0.75,abs_kb_minus_kt_peak_contrast,4,-0.41087655431665615,-0.21081851067789195
0.5,0.05,1.0,abs_kb_minus_kt_peak_contrast,4,-0.2618349176597987,-0.21081851067789195
0.5,0.2,0.0,abs_kb_minus_kt_peak_contrast,4,-0.9307203382637704,-0.7745966692414834
0.5,0.2,0.25,abs_kb_minus_kt_peak_contrast,4,-0.8954867578419174,-0.632455532033676
0.5,0.2,0.5,abs_kb_minus_kt_peak_contrast,4,-0.6733047022904501,-0.21081851067789195
0.5,0.2,0.75,abs_kb_minus_kt_peak_contrast,4,-0.46800332089642654,-0.21081851067789195
0.5,0.2,1.0,abs_kb_minus_kt_peak_contrast,4,-0.3291218735913964,-0.21081851067789195
0.5,0.5,0.0,abs_kb_minus_kt_peak_contrast,4,-0.8066026042917144,-0.7745966692414834
0.5,0.5,0.25,abs_kb_minus_kt_peak_contrast,4,-0.845114035263001,-0.632455532033676
0.5,0.5,0.5,abs_kb_minus_kt_peak_contrast,4,-0.6967025146769342,-0.21081851067789195
0.5,0.5,0.75,abs_kb_minus_kt_peak_contrast,4,-0.5352930271108204,-0.21081851067789195
0.5,0.5,1.0,abs_kb_minus_kt_peak_contrast,4,-0.4202171777851404,-0.21081851067789195
1.0,0.05,0.0,abs_kb_minus_kt_peak_contrast,4,-0.9768449737068958,-0.7745966692414834
1.0,0.05,0.25,abs_kb_minus_kt_peak_contrast,4,-0.8971874101337424,-0.632455532033676
1.0,0.05,0.5,abs_kb_minus_kt_peak_contrast,4,-0.6367106550699573,-0.21081851067789195
1.0,0.05,0.75,abs_kb_minus_kt_peak_contrast,4,-0.41102782301388213,-0.21081851067789195
1.0,0.05,1.0,abs_kb_minus_kt_peak_contrast,4,-0.2619971089734932,-0.21081851067789195
1.0,0.2,0.0,abs_kb_minus_kt_peak_contrast,4,-0.9304564768090346,-0.7745966692414834
1.0,0.2,0.25,abs_kb_minus_kt_peak_contrast,4,-0.8954448386732725,-0.632455532033676
1.0,0.2,0.5,abs_kb_minus_kt_peak_contrast,4,-0.673461273309453,-0.21081851067789195
1.0,0.2,0.75,abs_kb_minus_kt_peak_contrast,4,-0.4682687875574345,-0.21081851067789195
1.0,0.2,1.0,abs_kb_minus_kt_peak_contrast,4,-0.32944293647415557,-0.21081851067789195
1.0,0.5,0.0,abs_kb_minus_kt_peak_contrast,4,-0.8058341394239921,-0.7745966692414834
1.0,0.5,0.25,abs_kb_minus_kt_peak_contrast,4,-0.8447268437316561,-0.632455532033676
1.0,0.5,0.5,abs_kb_minus_kt_peak_contrast,4,-0.6967239201676201,-0.21081851067789195
1.0,0.5,0.75,abs_kb_minus_kt_peak_contrast,4,-0.5355681733592031,-0.21081851067789195
